Nom,Age,Type_d_infraction,Infraction,Date_d_infraction
Hugues-Roland Guichard,65.0,Délits,Faux en écriture publique ou privée,2020-03-18
Hugues-Roland Guichard,65.0,Délits,Coups et violences volontaires,1994-12-05
Marianne Faivre,40.0,Contraventions,Atteintes à l'ordre économique,2012-07-11
Marianne Faivre,40.0,Crimes,Homicides volontaires,2012-01-06
Marianne Faivre,40.0,Délits,Atteintes à la famille,2014-10-29
Marianne Faivre,40.0,Crimes,Homicides volontaires,2016-04-07
Marianne Faivre,40.0,Délits,Homicides involontaires,2014-03-09
Émilie Schmitt,69.0,Contraventions,Infractions en matière de transport,2022-02-26
Émilie Schmitt,69.0,Crimes,Atteintes a la surete publique,1986-04-17
Émilie Schmitt,69.0,Contraventions,Atteintes aux moeurs,1991-10-02
Antoinette Bertrand,73.0,Contraventions,Atteintes à la santé,2007-06-08
Antoinette Bertrand,73.0,Crimes,"Vols, recels, destructions",2015-10-30
Antoinette Bertrand,73.0,Crimes,Atteintes a la surete publique,1971-07-02
Adrien Jacob du Dumas,58.0,Crimes,Atteintes a la surete publique,2006-01-26
Adrien Jacob du Dumas,58.0,Délits,Commerce et transport d'armes,1998-01-01
Adrien Jacob du Dumas,58.0,Délits,Autres infractions à la santé publique,1988-05-04
Maggie Brunet,84.0,Délits,Transport,1988-07-14
Nathalie Le Goff,85.0,Crimes,"Vols, recels, destructions",2005-11-21
Nathalie Le Goff,85.0,Contraventions,Travail et sécurité sociale,1990-09-26
Paulette de Legendre,71.0,Contraventions,Blessures involontaires,1995-12-16
Paulette de Legendre,71.0,Délits,Destructions - dégradations,2009-07-22
Rémy de Blanchard,30.0,Délits,Chèques,2015-12-03
Rémy de Blanchard,30.0,Délits,Blessures involontaires,2022-12-02
Rémy de Blanchard,30.0,Contraventions,Travail et sécurité sociale,2017-06-22
Rémy de Blanchard,30.0,Crimes,Atteintes a la surete publique,2014-03-03
Rémy de Blanchard,30.0,Crimes,Atteintes a la surete publique,2019-09-02
Rémy de Blanchard,30.0,Contraventions,Atteintes aux biens,2017-08-08
Jean Peltier,43.0,Crimes,Coups et violences volontaires,2017-06-07
Jean Peltier,43.0,Crimes,Coups et violences volontaires,2006-07-15
Jean Peltier,43.0,Contraventions,Atteintes aux biens,2010-03-03
Jean Peltier,43.0,Contraventions,Atteintes à l'ordre économique,2009-01-26
Patricia Chevalier,77.0,Contraventions,Infractions en matière de transport,2020-11-28
Patricia Chevalier,77.0,Délits,Infractions militaires,2007-08-01
François Pasquier,26.0,Contraventions,Atteintes aux moeurs,2018-04-22
François Pasquier,26.0,Délits,Circulation routière,2017-12-01
François Pasquier,26.0,Délits,"Législation sur la concurrence, les prix",2020-03-10
François Pasquier,26.0,Crimes,"Vols, recels, destructions",2017-02-23
Danielle-Dorothée Dupuy,54.0,Crimes,Coups et violences volontaires,2012-11-27
Danielle-Dorothée Dupuy,54.0,Délits,Police des étrangers - nomades,2003-05-14
Henriette Gomes,62.0,Contraventions,Atteintes à l'ordre économique,2013-04-06
Henriette Gomes,62.0,Contraventions,Circulation routière,1996-11-12
Henriette Gomes,62.0,Délits,Atteintes à la famille,2000-04-03
Henriette Gomes,62.0,Délits,Ordre administratif et judiciaire,2009-04-07
Henriette Gomes,62.0,Délits,Transport,1992-11-27
Henriette Gomes,62.0,Délits,Destructions - dégradations,1996-03-22
Vincent Le Ledoux,62.0,Contraventions,Autres atteintes aux personnes,1986-05-27
Vincent Le Ledoux,62.0,Délits,Destructions - dégradations,1994-10-14
Vincent Le Ledoux,62.0,Contraventions,Atteintes à la santé,1980-08-02
Louis Chauvin,36.0,Contraventions,Coups et violences volontaires,2014-02-20
Louis Chauvin,36.0,Crimes,Atteintes a la surete publique,2007-07-20
Louis Chauvin,36.0,Délits,Transport,2018-06-27
Louis Chauvin,36.0,Contraventions,Blessures involontaires,2008-03-21
Louis Chauvin,36.0,Contraventions,Atteintes à l'environnement,2010-08-21
Louis Chauvin,36.0,Délits,Fraudes et contrefaçons,2008-06-03
Louis Chauvin,36.0,Délits,Atteintes à la famille,2017-06-01
Louis Chauvin,36.0,Contraventions,Atteintes à l'ordre économique,2008-12-14
Louis Chauvin,36.0,Délits,Blessures involontaires,2010-02-18
Louis Chauvin,36.0,Contraventions,Autres atteintes aux personnes,2017-03-15
Théodore-Stéphane Lopes,87.0,Contraventions,Ordre administratif et judiciaire,2005-07-08
Suzanne Descamps-Descamps,21.0,Contraventions,Atteintes à l'environnement,2020-03-20
Suzanne Descamps-Descamps,21.0,Crimes,"Vols, recels, destructions",2022-03-28
Suzanne Descamps-Descamps,21.0,Crimes,"Vols, recels, destructions",2020-09-07
Suzanne Descamps-Descamps,21.0,Contraventions,Infractions en matière de transport,2020-11-04
Suzanne Descamps-Descamps,21.0,Délits,Transport,2021-09-12
Grégoire Blondel,27.0,Contraventions,Autres atteintes aux personnes,2016-04-06
Sébastien-Étienne Tanguy,64.0,Délits,Travail et sécurité sociale,2002-02-05
Sébastien-Étienne Tanguy,64.0,Délits,Autres atteintes à la sûreté publique,2011-01-07
Sébastien-Étienne Tanguy,64.0,Contraventions,Blessures involontaires,2013-08-03
Dorothée Weiss de Navarro,38.0,Contraventions,Atteintes aux moeurs,2009-12-19
Dorothée Weiss de Navarro,38.0,Délits,Autres atteintes à la sûreté publique,2009-09-22
Dorothée Weiss de Navarro,38.0,Crimes,Homicides volontaires,2020-09-25
Dorothée Weiss de Navarro,38.0,Contraventions,Autres atteintes aux personnes,2012-05-24
Dorothée Weiss de Navarro,38.0,Contraventions,Atteintes à l'environnement,2013-07-30
Thibault Moreno,28.0,Délits,Atteintes aux finances publiques,2022-07-08
Thibault Moreno,28.0,Délits,Atteintes à la famille,2020-08-22
Thibault Moreno,28.0,Crimes,Atteintes a la surete publique,2022-03-02
Thibault Moreno,28.0,Contraventions,Ordre administratif et judiciaire,2016-05-31
Thibault Moreno,28.0,Délits,Autres infractions à la santé publique,2014-06-25
Thibault Moreno,28.0,Crimes,"Vols, recels, destructions",2015-05-19
Thibault Moreno,28.0,Délits,Blessures involontaires,2015-11-11
Thibault Moreno,28.0,Crimes,Coups et violences volontaires,2016-09-25
Thibault Moreno,28.0,Délits,Vols - recels,2021-02-26
Thibault Charpentier,68.0,Crimes,Homicides volontaires,1983-11-06
Thibault Charpentier,68.0,Délits,Autres atteintes à la sûreté publique,2013-10-21
Édouard-Tristan Leleu,37.0,Contraventions,Coups et violences volontaires,2011-07-19
Édith Lefèvre,58.0,Crimes,Coups et violences volontaires,1999-01-23
Édith Lefèvre,58.0,Contraventions,Ordre administratif et judiciaire,2018-07-08
Édith Lefèvre,58.0,Délits,Circulation routière,2011-08-18
Isabelle-Laure De Sousa,22.0,Crimes,"Vols, recels, destructions",2019-11-27
Isabelle-Laure De Sousa,22.0,Crimes,Atteintes a la surete publique,2022-01-04
Isabelle-Laure De Sousa,22.0,Délits,Atteintes à la famille,2022-05-13
Isabelle-Laure De Sousa,22.0,Délits,Fraudes et contrefaçons,2021-08-22
Isabelle-Laure De Sousa,22.0,Crimes,Atteintes a la surete publique,2022-05-10
Caroline Weiss,41.0,Contraventions,Autres atteintes aux personnes,2006-11-11
Louis de la Charles,74.0,Contraventions,Atteintes à la sûreté publique,1999-12-10
Louis de la Charles,74.0,Contraventions,Atteintes à la sûreté publique,1978-01-18
René Delattre,34.0,Crimes,"Vols, recels, destructions",2013-08-26
René Delattre,34.0,Contraventions,Blessures involontaires,2013-08-13
René Delattre,34.0,Contraventions,Blessures involontaires,2021-03-19
René Delattre,34.0,Délits,Autres atteintes à la sûreté publique,2009-11-22
René Delattre,34.0,Crimes,"Vols, recels, destructions",2022-07-06
René Delattre,34.0,Délits,Commerce et transport d'armes,2008-05-02
René Delattre,34.0,Contraventions,Atteintes aux moeurs,2015-08-17
André Étienne,20.0,Crimes,Coups et violences volontaires,2022-05-04
André Étienne,20.0,Délits,Législation sur les sociétés,2021-02-11
Jean Becker Le Lecoq,45.0,Délits,Coups et violences volontaires,2002-12-19
Jean Becker Le Lecoq,45.0,Contraventions,Atteintes à l'environnement,2008-12-13
Jean Becker Le Lecoq,45.0,Crimes,Homicides volontaires,2006-10-20
Jean Becker Le Lecoq,45.0,Contraventions,Atteintes à la santé,2000-04-22
Xavier-Adrien Vallet,22.0,Crimes,Atteintes a la surete publique,2020-04-18
Xavier-Adrien Vallet,22.0,Délits,Travail et sécurité sociale,2022-08-03
Xavier-Adrien Vallet,22.0,Contraventions,Coups et violences volontaires,2019-10-01
Xavier-Adrien Vallet,22.0,Contraventions,Circulation routière,2022-10-21
Xavier-Adrien Vallet,22.0,Délits,Atteintes aux moeurs,2019-07-06
Marguerite-Antoinette Morin,91.0,Délits,Infractions sur les stupéfiants,2001-11-09
Sophie Boulanger,66.0,Contraventions,Atteintes à la santé,2015-10-05
Sophie Boulanger,66.0,Contraventions,Atteintes à l'environnement,1984-02-04
Charles Benard,49.0,Délits,Escroqueries - abus de confiance,2015-12-06
Charles Benard,49.0,Crimes,Coups et violences volontaires,2009-12-11
Charles Benard,49.0,Délits,Circulation routière,2007-08-13
Charles Benard,49.0,Contraventions,Infractions en matière de transport,2011-10-17
Charles Benard,49.0,Crimes,Coups et violences volontaires,2016-09-09
Charles Benard,49.0,Crimes,"Vols, recels, destructions",2022-01-03
Charles Benard,49.0,Crimes,Coups et violences volontaires,2013-09-22
Charles Benard,49.0,Crimes,Coups et violences volontaires,2007-06-06
Claude Delorme de la Ramos,68.0,Contraventions,Infractions en matière de transport,1978-03-22
Claude Delorme de la Ramos,68.0,Délits,Police des étrangers - nomades,1979-07-27
Claude Delorme de la Ramos,68.0,Crimes,Coups et violences volontaires,2001-08-22
David-Olivier Delorme,63.0,Crimes,Coups et violences volontaires,2003-04-08
David-Olivier Delorme,63.0,Délits,Autres atteintes à la sûreté publique,2009-06-30
David-Olivier Delorme,63.0,Crimes,"Vols, recels, destructions",1980-09-12
David-Olivier Delorme,63.0,Crimes,"Vols, recels, destructions",2004-12-25
David-Olivier Delorme,63.0,Contraventions,Infractions en matière de transport,1996-10-21
David-Olivier Delorme,63.0,Contraventions,Atteintes à l'environnement,1997-09-16
Stéphane Hervé-Roux,31.0,Crimes,Homicides volontaires,2012-10-23
Thibaut Pruvost,39.0,Crimes,Homicides volontaires,2003-04-04
Thibaut Pruvost,39.0,Contraventions,Atteintes à l'ordre économique,2012-08-06
Thibaut Pruvost,39.0,Crimes,Homicides volontaires,2010-01-15
Thibaut Pruvost,39.0,Délits,Faux en écriture publique ou privée,2005-03-23
Odette-Aurélie Ribeiro,24.0,Délits,Circulation routière,2018-04-13
Odette-Aurélie Ribeiro,24.0,Crimes,"Vols, recels, destructions",2020-06-17
Odette-Aurélie Ribeiro,24.0,Délits,Législation sur les sociétés,2021-03-09
Odette-Aurélie Ribeiro,24.0,Contraventions,Blessures involontaires,2021-12-17
Odette-Aurélie Ribeiro,24.0,Délits,Faux en écriture publique ou privée,2022-05-03
Josette Robert,50.0,Délits,Législation sur les sociétés,2001-08-15
Josette Robert,50.0,Contraventions,Circulation routière,2004-03-12
Josette Robert,50.0,Crimes,Homicides volontaires,2008-11-09
Josette Robert,50.0,Crimes,Atteintes a la surete publique,2014-07-13
Josette Robert,50.0,Contraventions,Ordre administratif et judiciaire,1993-07-06
Josette Robert,50.0,Contraventions,Atteintes aux moeurs,1994-05-23
Josette Robert,50.0,Contraventions,Blessures involontaires,2015-04-08
Josette Robert,50.0,Contraventions,Atteintes à la sûreté publique,2022-03-11
Josette Robert,50.0,Crimes,Homicides volontaires,2008-06-13
Jean Chauveau du Antoine,65.0,Crimes,Atteintes a la surete publique,2018-07-07
Jean Chauveau du Antoine,65.0,Contraventions,Infractions en matière de transport,2003-03-27
Jean Chauveau du Antoine,65.0,Contraventions,Atteintes à la sûreté publique,2000-01-15
Jean Chauveau du Antoine,65.0,Délits,Travail et sécurité sociale,2020-02-25
Jean Chauveau du Antoine,65.0,Délits,Autres infractions à la santé publique,1976-09-09
Simone Pineau,71.0,Délits,Commerce et transport d'armes,1970-06-17
Simone Pineau,71.0,Délits,Coups et violences volontaires,1973-09-11
Frédérique Payet,47.0,Crimes,Homicides volontaires,2000-09-09
Frédérique Payet,47.0,Délits,Autres atteintes à la sûreté publique,2005-10-08
Frédérique Payet,47.0,Crimes,Coups et violences volontaires,2004-12-20
Frédérique Payet,47.0,Contraventions,Atteintes à l'ordre économique,2004-11-30
Frédérique Payet,47.0,Crimes,Atteintes a la surete publique,2018-08-16
Frédérique Payet,47.0,Délits,Faux en écriture publique ou privée,2012-05-03
Frédérique Payet,47.0,Contraventions,Atteintes à la sûreté publique,2005-05-20
Frédérique Payet,47.0,Délits,Commerce et transport d'armes,2012-01-10
Joseph de la Renaud,88.0,Délits,Fraudes et contrefaçons,1992-09-23
Joseph de la Renaud,88.0,Délits,Infractions militaires,2006-10-18
Joseph de la Renaud,88.0,Contraventions,Infractions en matière de transport,2002-02-09
Louise Girard,69.0,Contraventions,Atteintes aux biens,1976-02-27
Louise Girard,69.0,Délits,Autres infractions à la santé publique,2009-11-18
Adrien Lefort,35.0,Crimes,Coups et violences volontaires,2016-04-25
Adrien Lefort,35.0,Contraventions,Blessures involontaires,2007-12-31
Adrien Lefort,35.0,Crimes,Coups et violences volontaires,2021-02-10
Adrien Lefort,35.0,Délits,Transport,2016-01-06
Adrien Lefort,35.0,Crimes,Coups et violences volontaires,2017-09-14
Adrien Lefort,35.0,Contraventions,Atteintes à la santé,2015-12-07
Adrien Lefort,35.0,Crimes,"Vols, recels, destructions",2006-01-24
Maggie Gaudin,36.0,Délits,Transport,2018-05-21
Maggie Gaudin,36.0,Contraventions,Atteintes à l'ordre économique,2013-10-05
Maggie Gaudin,36.0,Contraventions,Circulation routière,2006-01-29
Maggie Gaudin,36.0,Contraventions,Travail et sécurité sociale,2010-04-05
Maggie Gaudin,36.0,Délits,Circulation routière,2009-06-10
Maggie Gaudin,36.0,Crimes,Coups et violences volontaires,2014-05-10
Maggie Gaudin,36.0,Crimes,Coups et violences volontaires,2005-11-02
Maggie Gaudin,36.0,Crimes,"Vols, recels, destructions",2021-06-23
Maggie Gaudin,36.0,Crimes,Atteintes a la surete publique,2019-10-09
Colette du Mary,83.0,Délits,Chèques,1964-07-19
Céline-Mathilde Buisson,39.0,Délits,Infractions militaires,2011-11-02
Céline-Mathilde Buisson,39.0,Contraventions,Atteintes à la sûreté publique,2021-05-06
Céline-Mathilde Buisson,39.0,Crimes,"Vols, recels, destructions",2016-02-24
Céline-Mathilde Buisson,39.0,Délits,Fraudes et contrefaçons,2021-03-07
Manon Devaux de la Jacquot,64.0,Contraventions,Atteintes aux moeurs,1981-04-21
Manon Devaux de la Jacquot,64.0,Crimes,"Vols, recels, destructions",2001-05-05
Manon Devaux de la Jacquot,64.0,Contraventions,Atteintes aux biens,2012-07-06
Manon Devaux de la Jacquot,64.0,Contraventions,Travail et sécurité sociale,1981-03-11
Michelle Tessier,44.0,Crimes,Homicides volontaires,2017-03-14
Michelle Tessier,44.0,Contraventions,Circulation routière,2007-08-01
Michelle Tessier,44.0,Délits,"Législation sur la concurrence, les prix",2011-10-02
Maggie-Marthe Lebreton,32.0,Contraventions,Coups et violences volontaires,2021-06-24
Maggie-Marthe Lebreton,32.0,Crimes,Homicides volontaires,2016-09-22
Maggie-Marthe Lebreton,32.0,Crimes,"Vols, recels, destructions",2017-11-04
Maggie-Marthe Lebreton,32.0,Contraventions,Infractions en matière de transport,2018-12-16
Luce Coulon-Collin,79.0,Contraventions,Circulation routière,1990-06-02
Marine Chauvet-Potier,55.0,Délits,Atteintes aux moeurs,1994-10-31
Marine Chauvet-Potier,55.0,Contraventions,Circulation routière,2001-09-03
Marine Chauvet-Potier,55.0,Délits,Travail et sécurité sociale,2014-08-13
Marine Chauvet-Potier,55.0,Délits,Atteintes à l'environnement,1990-01-15
Marine Chauvet-Potier,55.0,Contraventions,Atteintes à la santé,2014-04-21
Marine Chauvet-Potier,55.0,Crimes,Atteintes a la surete publique,2007-06-10
Marine Chauvet-Potier,55.0,Crimes,Atteintes a la surete publique,2018-06-16
Marine Chauvet-Potier,55.0,Crimes,"Vols, recels, destructions",2018-04-23
Nicolas Lopez,75.0,Délits,Transport,2022-05-16
Nicolas Lopez,75.0,Contraventions,Atteintes à l'ordre économique,2002-04-26
Nicolas Lopez,75.0,Délits,Faux en écriture publique ou privée,1984-09-21
Honoré du Laurent,44.0,Délits,Fraudes et contrefaçons,2009-03-29
Honoré du Laurent,44.0,Délits,Autres atteintes à la sûreté publique,2015-08-18
Honoré du Laurent,44.0,Crimes,Homicides volontaires,2012-03-14
Honoré du Laurent,44.0,Crimes,Atteintes a la surete publique,2010-05-13
Honoré du Laurent,44.0,Contraventions,Coups et violences volontaires,2016-07-15
Caroline-Lorraine Humbert,59.0,Contraventions,Atteintes aux biens,1983-01-06
Caroline-Lorraine Humbert,59.0,Délits,Infractions militaires,1991-09-29
Caroline-Lorraine Humbert,59.0,Crimes,Homicides volontaires,2004-09-17
Gilles Marion,20.0,Crimes,"Vols, recels, destructions",2022-04-01
Gilles Marion,20.0,Crimes,Coups et violences volontaires,2022-09-19
Gilles Marion,20.0,Délits,Destructions - dégradations,2021-04-22
Gilles Marion,20.0,Crimes,"Vols, recels, destructions",2022-02-04
Corinne Lecomte,54.0,Délits,Ordre administratif et judiciaire,2010-01-04
Sébastien Lemaître,74.0,Contraventions,Blessures involontaires,1972-06-27
Sébastien Lemaître,74.0,Crimes,Coups et violences volontaires,1970-03-26
Sébastien Lemaître,74.0,Délits,Atteintes à la famille,1977-12-05
Mathilde Boyer,56.0,Contraventions,Blessures involontaires,1993-05-12
Mathilde Boyer,56.0,Contraventions,Blessures involontaires,1988-07-18
Mathilde Boyer,56.0,Crimes,Coups et violences volontaires,2011-02-22
Mathilde Boyer,56.0,Contraventions,Atteintes aux moeurs,2020-04-09
Raymond Marchal de Nguyen,30.0,Contraventions,Atteintes à l'ordre économique,2014-04-24
Raymond Marchal de Nguyen,30.0,Contraventions,Atteintes aux biens,2019-02-20
Raymond Marchal de Nguyen,30.0,Contraventions,Atteintes à l'ordre économique,2017-08-08
Raymond Marchal de Nguyen,30.0,Crimes,Atteintes a la surete publique,2014-05-21
Raymond Marchal de Nguyen,30.0,Contraventions,Blessures involontaires,2022-11-29
Raymond Marchal de Nguyen,30.0,Délits,Législation sur les sociétés,2012-03-01
Raymond Marchal de Nguyen,30.0,Crimes,Homicides volontaires,2016-06-20
Raymond Marchal de Nguyen,30.0,Délits,Commerce et transport d'armes,2021-08-22
Raymond Marchal de Nguyen,30.0,Contraventions,Atteintes à l'environnement,2017-08-14
Raymond Marchal de Nguyen,30.0,Délits,Autres atteintes à la sûreté publique,2020-02-07
Michelle Lebon,35.0,Contraventions,Atteintes à l'ordre économique,2017-07-22
Michelle Lebon,35.0,Contraventions,Travail et sécurité sociale,2014-07-28
Michelle Lebon,35.0,Délits,Chèques,2013-12-12
Louis Weber,35.0,Contraventions,Travail et sécurité sociale,2011-03-27
Louis Weber,35.0,Crimes,Coups et violences volontaires,2009-07-07
Louis Weber,35.0,Contraventions,Atteintes à l'environnement,2015-04-05
Louis Weber,35.0,Délits,Blessures involontaires,2008-05-04
Louis Weber,35.0,Crimes,Atteintes a la surete publique,2018-07-03
Simone-Antoinette Mallet,82.0,Contraventions,Circulation routière,1987-01-30
Simone-Antoinette Mallet,82.0,Crimes,Coups et violences volontaires,2019-02-15
Simone-Antoinette Mallet,82.0,Crimes,"Vols, recels, destructions",2017-03-18
Caroline Monnier,58.0,Crimes,"Vols, recels, destructions",2020-01-06
Caroline Monnier,58.0,Délits,Législation sur les sociétés,2007-05-12
Caroline Monnier,58.0,Délits,Police des étrangers - nomades,1989-02-03
Charlotte Étienne-Evrard,35.0,Contraventions,Atteintes à l'environnement,2022-05-09
Charlotte Étienne-Evrard,35.0,Contraventions,Atteintes aux biens,2015-12-27
Charlotte Étienne-Evrard,35.0,Crimes,Coups et violences volontaires,2007-10-31
Jacques Lebrun,76.0,Crimes,Homicides volontaires,2006-06-01
Jacques Lebrun,76.0,Crimes,"Vols, recels, destructions",1999-09-28
Constance Lemaire du Germain,91.0,Crimes,Coups et violences volontaires,1974-06-29
Sébastien Meunier,84.0,Crimes,"Vols, recels, destructions",2017-09-23
Brigitte Caron,79.0,Crimes,Homicides volontaires,1965-08-24
Brigitte Caron,79.0,Contraventions,Autres atteintes aux personnes,1999-09-04
Vincent Evrard,67.0,Crimes,Homicides volontaires,1976-09-18
Vincent Evrard,67.0,Contraventions,Ordre administratif et judiciaire,1977-07-02
Vincent Evrard,67.0,Contraventions,Atteintes à l'ordre économique,2015-06-27
Vincent Evrard,67.0,Contraventions,Ordre administratif et judiciaire,1988-02-06
Vincent Evrard,67.0,Crimes,"Vols, recels, destructions",2009-10-23
Vincent Evrard,67.0,Crimes,Coups et violences volontaires,2014-04-28
Vincent Evrard,67.0,Crimes,Atteintes a la surete publique,1982-06-30
Étienne Dumont,37.0,Contraventions,Travail et sécurité sociale,2020-10-21
Charles Blondel,25.0,Délits,Police des étrangers - nomades,2020-01-04
Charles Blondel,25.0,Délits,Autres atteintes à la sûreté publique,2017-08-13
Charles Blondel,25.0,Délits,Ordre administratif et judiciaire,2019-05-15
Charles Blondel,25.0,Contraventions,Coups et violences volontaires,2019-10-23
Dorothée Jacquet-Fouquet,49.0,Crimes,Atteintes a la surete publique,2021-08-22
Dorothée Jacquet-Fouquet,49.0,Contraventions,Atteintes à la santé,1994-02-01
Dorothée Jacquet-Fouquet,49.0,Contraventions,Atteintes à l'environnement,2020-05-24
Dorothée Jacquet-Fouquet,49.0,Contraventions,Travail et sécurité sociale,1998-03-13
Dorothée Jacquet-Fouquet,49.0,Délits,Ordre administratif et judiciaire,2014-06-14
Dorothée Jacquet-Fouquet,49.0,Crimes,Atteintes a la surete publique,2010-10-02
Dorothée Jacquet-Fouquet,49.0,Délits,Atteintes à la famille,2020-09-05
Julie Mallet-Aubert,50.0,Crimes,Atteintes a la surete publique,1999-12-06
Isaac Bonnin,90.0,Délits,"Législation sur la concurrence, les prix",1988-03-16
Isaac Bonnin,90.0,Délits,Fraudes et contrefaçons,1957-05-17
Isaac Bonnin,90.0,Crimes,"Vols, recels, destructions",2012-03-19
David Guérin,30.0,Crimes,"Vols, recels, destructions",2020-10-03
David Guérin,30.0,Crimes,"Vols, recels, destructions",2018-03-24
David Guérin,30.0,Crimes,"Vols, recels, destructions",2021-05-10
David Guérin,30.0,Contraventions,Circulation routière,2015-06-11
David Guérin,30.0,Délits,Atteintes aux finances publiques,2022-05-04
David Guérin,30.0,Contraventions,Atteintes à l'ordre économique,2011-07-27
David Guérin,30.0,Délits,Législation sur les sociétés,2018-11-27
Guy Dufour-Bernier,69.0,Crimes,"Vols, recels, destructions",1993-10-19
Guy Dufour-Bernier,69.0,Délits,Atteintes aux finances publiques,1972-01-28
Guy Dufour-Bernier,69.0,Crimes,Homicides volontaires,1979-01-01
Guy Dufour-Bernier,69.0,Contraventions,Coups et violences volontaires,2020-01-01
Guy Dufour-Bernier,69.0,Contraventions,Atteintes à la santé,2021-09-15
Michelle Clément,56.0,Délits,Police des étrangers - nomades,2011-10-28
Michelle Clément,56.0,Contraventions,Atteintes à la sûreté publique,1993-10-05
Michelle Clément,56.0,Crimes,"Vols, recels, destructions",1994-01-23
Michelle Clément,56.0,Contraventions,Atteintes aux biens,1990-07-01
Michelle Clément,56.0,Contraventions,Atteintes à la sûreté publique,1992-05-07
Michelle Clément,56.0,Contraventions,Atteintes à la sûreté publique,2016-01-31
Michelle Clément,56.0,Crimes,Coups et violences volontaires,2020-03-25
Michelle Clément,56.0,Crimes,Atteintes a la surete publique,1989-04-14
Laurence Mathieu,21.0,Crimes,Homicides volontaires,2020-10-29
Laurence Mathieu,21.0,Contraventions,Circulation routière,2022-03-17
Laurence Mathieu,21.0,Crimes,"Vols, recels, destructions",2021-11-02
Laurence Mathieu,21.0,Contraventions,Blessures involontaires,2021-04-10
Corinne Arnaud,73.0,Crimes,Atteintes a la surete publique,1992-07-28
Léon Martins-Briand,52.0,Contraventions,Circulation routière,1991-07-01
Léon Martins-Briand,52.0,Délits,Homicides involontaires,1994-11-14
Gabriel Lopez,30.0,Contraventions,Coups et violences volontaires,2020-06-04
Gabriel Lopez,30.0,Crimes,Homicides volontaires,2012-02-05
Gabriel Lopez,30.0,Contraventions,Atteintes à la santé,2012-08-27
Gabriel Lopez,30.0,Délits,"Législation sur la concurrence, les prix",2020-06-04
Gabriel Lopez,30.0,Délits,Escroqueries - abus de confiance,2021-08-25
Gabriel Lopez,30.0,Contraventions,Atteintes aux biens,2020-11-22
Gabriel Lopez,30.0,Contraventions,Atteintes à l'ordre économique,2022-11-11
Gabriel Lopez,30.0,Crimes,"Vols, recels, destructions",2016-06-22
Gabriel Lopez,30.0,Contraventions,Atteintes à la sûreté publique,2014-10-03
Gabriel Lopez,30.0,Délits,Escroqueries - abus de confiance,2017-08-07
Margot de Joseph,42.0,Crimes,Homicides volontaires,2003-09-05
Margot de Joseph,42.0,Crimes,Homicides volontaires,2022-12-17
Margot de Joseph,42.0,Crimes,Homicides volontaires,2003-11-17
Geneviève Germain-Picard,84.0,Délits,Autres atteintes à la personne,2009-07-06
Geneviève Germain-Picard,84.0,Délits,Atteintes aux moeurs,1968-04-10
Geneviève Germain-Picard,84.0,Crimes,Coups et violences volontaires,2005-10-20
Jeanne Garnier,39.0,Délits,Fraudes et contrefaçons,2007-08-01
Jeanne Garnier,39.0,Crimes,"Vols, recels, destructions",2021-04-16
Jeanne Garnier,39.0,Délits,Coups et violences volontaires,2014-06-26
Jeanne Garnier,39.0,Délits,Atteintes à la famille,2020-05-28
Jeanne Garnier,39.0,Contraventions,Atteintes aux biens,2019-03-27
Jeanne Garnier,39.0,Contraventions,Atteintes aux moeurs,2011-10-04
Jeanne Garnier,39.0,Contraventions,Travail et sécurité sociale,2009-02-25
Lucas Vaillant,83.0,Crimes,"Vols, recels, destructions",1990-05-10
Lucas Vaillant,83.0,Crimes,Atteintes a la surete publique,1978-10-22
Philippine Courtois,40.0,Délits,Blessures involontaires,2019-11-16
Philippine Courtois,40.0,Contraventions,Atteintes aux biens,2003-10-10
Philippine Courtois,40.0,Crimes,"Vols, recels, destructions",2007-12-19
Philippine Courtois,40.0,Contraventions,Travail et sécurité sociale,2018-09-24
Philippine Courtois,40.0,Crimes,Atteintes a la surete publique,2004-01-19
Philippine Courtois,40.0,Délits,Homicides involontaires,2011-11-18
Philippine Courtois,40.0,Délits,Vols - recels,2020-12-16
Philippine Courtois,40.0,Délits,Autres infractions à la santé publique,2002-10-04
Philippine Courtois,40.0,Délits,Atteintes à la famille,2020-11-05
Philippine Courtois,40.0,Contraventions,Atteintes à l'ordre économique,2005-04-12
Roland de la Barthelemy,29.0,Délits,Atteintes à la famille,2022-12-26
Roland de la Barthelemy,29.0,Crimes,Atteintes a la surete publique,2015-07-18
Roland de la Barthelemy,29.0,Contraventions,Atteintes à la santé,2018-10-04
Roland de la Barthelemy,29.0,Contraventions,Blessures involontaires,2017-11-17
Roland de la Barthelemy,29.0,Crimes,Coups et violences volontaires,2013-03-15
Roland de la Barthelemy,29.0,Contraventions,Travail et sécurité sociale,2015-10-17
Roland de la Barthelemy,29.0,Crimes,Coups et violences volontaires,2020-01-29
Roland de la Barthelemy,29.0,Crimes,"Vols, recels, destructions",2016-01-25
Françoise Pottier,80.0,Crimes,Atteintes a la surete publique,2015-08-11
Françoise Pottier,80.0,Crimes,"Vols, recels, destructions",1999-04-13
Françoise Pottier,80.0,Contraventions,Atteintes à la sûreté publique,1980-09-22
Audrey Dijoux,39.0,Délits,Chèques,2020-05-21
