Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Suzanne Boucher,2011-04-08,Masculin,"ZOU,AGBANGNIZOUN,ADANHONDJIGO,GNIZINTA carré 6289",,,
Christelle Martinez-Chevalier,1946-06-02,Masculin,"OUEME,SEME-PODJI,EKPE,DJEFFA HOUEDOME  GBAGO carré 8236",christellemartinez-chevalier@gmail.com,+22999331169,moniteur d'activités équestres
Josette de la Mary,2003-12-10,Masculin,"OUEME,SEME-PODJI,EKPE,EKPE GBEDJAME carré 5684",josettedelamary@gmail.com,+22966813338,greffier
Rémy-Léon Lefebvre,2017-06-14,Féminin,"COLLINES,SAVALOU,DOUME,LEKPA carré 7441",,,
Alexandrie Courtois de Becker,1983-12-07,Masculin,"ATLANTIQUE,OUIDAH,PAHOU,ADJRA-ADOVIE carré 3925",alexandriecourtoisdebecker@gmail.com,+22968516042,metteur en scène
Joseph Guillon,1932-11-12,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA carré 2393",josephguillon@gmail.com,+22951334459,conseiller pénitentiaire d'insertion et de probation
Jérôme Peron,1949-09-13,Masculin,"BORGOU,PERERE,PANE,KPANE BOUGNEROU carré 6341",jérômeperon@gmail.com,+22962388132,ingénieur environnement
Eugène-Thibaut Potier,1968-06-07,Masculin,"PLATEAU,KETOU,KPANKOU,ODOKOTO carré 8782",eugène-thibautpotier@gmail.com,+22995615826,sérigraphe
Georges-Alfred Pruvost,1988-04-07,Masculin,"COUFFO,LALO,LALO,ZONMONDJI carré 7826",georges-alfredpruvost@gmail.com,+22965675366,officier marinier marinière
Léon-Théophile Dupuy,1994-03-24,Masculin,"ALIBORI,KANDI,ANGARADEBOU,DOGBAN carré 2045",léon-théophiledupuy@gmail.com,+22994066514,ingénieur en imagerie médicale
Lorraine Bodin de Lucas,1938-11-02,Masculin,"LITTORAL,COTONOU,7EME ARRONDISSEMENT,SEHOGAN SIKE carré 3250",lorrainebodindelucas@gmail.com,+22994129616,chef de station de traitement des eaux
Christelle-Antoinette Gautier,2022-10-02,Masculin,"COLLINES,DASSA-ZOUME,KPINGNI,VEDJI carré 4806",,,
François Boyer Le Marin,2003-04-17,Masculin,"ATACORA,TOUKOUNTOUNA,TOUKOUNTOUNA,KPENTIKOU carré 2584",françoisboyerlemarin@gmail.com,+22998992781,"inspecteur des douanes, des finances publiques ou du travail"
Alexandre Lacroix,1973-11-25,Masculin,"COLLINES,GLAZOUE,GOME,GOME carré 1839",alexandrelacroix@gmail.com,+22999563785,biologiste médical
Laurent Henry,1991-09-02,Masculin,"PLATEAU,KETOU,KETOU,IRADIGBAN carré 5508",laurenthenry@gmail.com,+22990588602,géologue modélisateur
Alexandre Pasquier-Pichon,1937-08-09,Masculin,"ATLANTIQUE,KPOMASSE,TOKPA-DOME,HOUETON carré 5726",alexandrepasquier-pichon@gmail.com,+22953911144,professeur de musique et de danse
Sébastien Coste,1949-06-11,Féminin,"LITTORAL,COTONOU,9EME ARRONDISSEMENT,ZOGBO carré 2297",sébastiencoste@gmail.com,+22995019791,opticien-lunetier
Maurice Barthelemy,1983-11-12,Masculin,"LITTORAL,COTONOU,5EME ARRONDISSEMENT,ZONGO NIMA carré 3244",mauricebarthelemy@gmail.com,+22995884929,ingénieur en énergie solaire
Stéphane Guillet,2015-10-04,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,YENAWA carré 3881",,,
William Germain,2003-01-30,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,ALEDJO carré 7745",williamgermain@gmail.com,+22994743614,yield manager
Margaux Tanguy,1993-07-26,Masculin,"ALIBORI,BANIKOARA,TOURA,KAKOUROGOU carré 4297",margauxtanguy@gmail.com,+22968212723,agent de propreté et d'hygiène
Adrien Gallet,1961-03-27,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,AHOUASSA carré 2678",adriengallet@gmail.com,+22996833748,professeur de lycée professionnel
Suzanne Collin,1994-10-20,Masculin,"ALIBORI,GOGOUNOU,BAGOU,BAGOU-SINKPAROU carré 4487",suzannecollin@gmail.com,+22957292453,ingénieur hydroécologue
Maryse Baudry Le Da Costa,2016-01-22,Féminin,"ZOU,ABOMEY,VIDOLE,DOTA carré 3356",,,
Thérèse Goncalves,1938-09-11,Masculin,"LITTORAL,COTONOU,7EME ARRONDISSEMENT,MISSITE-SIKE carré 7557",thérèsegoncalves@gmail.com,+22964939677,déclarant en douane
Stéphane Gomes-Moreau,1995-07-05,Féminin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,DANDJI carré 1048",stéphanegomes-moreau@gmail.com,+22998729454,psychomotricien
Michelle Langlois,2021-05-30,Masculin,"PLATEAU,SAKETE,AGUIDI,BARIGBO-OWODE carré 3450",,,
François Pruvost,2010-03-17,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-CENTRE carré 1244",,,
Aimée Laurent,1973-08-13,Masculin,"COUFFO,DOGBO,TOTA,ZAPHI GNAME carré 9304",aiméelaurent@gmail.com,+22994909828,télévendeur
Vincent Le David,1943-02-11,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,AIBATIN DODO carré 8582",vincentledavid@gmail.com,+22950191064,ingénieur combustion et brûleurs
Joseph Leclerc,2013-02-05,Masculin,"COUFFO,DJAKOTOMEY,KOKOHOUE,KOKOHOUE carré 0237",,,
Gabriel-Benoît Muller,2007-09-27,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,AÏMEVO carré 8568",,,
Inès Guyot,1983-01-24,Masculin,"LITTORAL,COTONOU,10EME ARRONDISSEMENT,MISSEKPLE carré 2891",inèsguyot@gmail.com,+22995721374,officier de police
Bernadette de Jourdan,1956-04-03,Masculin,"BORGOU,NIKKI,SEREKALI,BAANI carré 1837",bernadettedejourdan@gmail.com,+22952956926,agent hydrothermal hydrothermale
Guy Teixeira,1985-06-15,Féminin,"LITTORAL,COTONOU,9EME ARRONDISSEMENT,ZOGBOHOUE carré 1233",guyteixeira@gmail.com,+22995877300,tailleur-couturier
Diane de David,1990-02-15,Masculin,"PLATEAU,KETOU,IDIGNY,ILLADJI carré 4743",dianededavid@gmail.com,+22995173906,consultant en validation
Alfred Gonzalez,2010-09-07,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,KPAKPAME carré 2952",,,
Emmanuel Legrand,1977-02-10,Masculin,"COUFFO,KLOUEKANMEY,ADJAHONME,GODOHOU carré 4542",emmanuellegrand@gmail.com,+22995922513,céramiste
Pénélope Thierry,1990-12-20,Masculin,"ALIBORI,SEGBANA,SOKOTINDJI,SEREBANI carré 7831",pénélopethierry@gmail.com,+22966524643,secrétaire
Tristan Fleury,1985-05-11,Masculin,"BORGOU,NIKKI,OUENOU,GNELKIRADJE carré 8292",tristanfleury@gmail.com,+22969377527,maître d'hôtel
Édith de la Boutin,1945-03-22,Masculin,"MONO,ATHIEME,ADOHOUN,TOGUIDO carré 6298",édithdelaboutin@gmail.com,+22957637507,éducateur de jeunes enfants
Michelle de la Daniel,1970-07-24,Masculin,"MONO,HOUEYOGBE,DOUTOU,KOWENOU carré 7942",michelledeladaniel@gmail.com,+22995279673,responsable des ressources humaines
Philippe-Robert Regnier,1955-11-25,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,ALBARIKA carré 3220",philippe-robertregnier@gmail.com,+22966367287,employé de restaurant
Andrée de Bouvet,1988-03-11,Masculin,"COLLINES,SAVE,KABOUA,OKOUNFO carré 0002",andréedebouvet@gmail.com,+22954239441,commissaire-priseur
Isaac Deschamps,1985-01-14,Masculin,"ATACORA,BOUKOUMBE,MANTA,KOUMADOGOU carré 7600",isaacdeschamps@gmail.com,+22969819154,mécanicien-réparateur en matériel agricole
Suzanne Guillon,1944-09-03,Masculin,"PLATEAU,IFANGNI,LAGBE,HOUMBO-DJEDJE carré 0509",suzanneguillon@gmail.com,+22969561679,technicien en métrologie
Alice Le Peron,1951-03-27,Masculin,"COLLINES,SAVALOU,DJALLOUKOU,KONKONDJI carré 8384",aliceleperon@gmail.com,+22967790660,énergéticien
Julien du Bonnet,1967-10-30,Masculin,"PLATEAU,POBE,POBE,ILLOUSSA-OSSOMOU carré 0729",juliendubonnet@gmail.com,+22964567057,ingénieur chimiste
Vincent Valette-Neveu,1942-04-01,Féminin,"MONO,LOKOSSA,LOKOSSA,FONGBA carré 7840",vincentvalette-neveu@gmail.com,+22953767745,anatomiste
Stéphanie Poirier-Bonnin,1945-01-11,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,YAMBOUAN carré 3294",stéphaniepoirier-bonnin@gmail.com,+22998564568,chef de produit marketing
Thibaut Evrard,1959-02-06,Masculin,"PLATEAU,ADJA-OUERE,OKO-AKARE,OKO-AKARE carré 7504",thibautevrard@gmail.com,+22969257642,cordonnier
Thibaut Le Ledoux,1955-01-09,Masculin,"ATACORA,MATERI,DASSARI,PORGA carré 4892",thibautleledoux@gmail.com,+22962444926,climatologue
Paulette Godard,1974-12-19,Masculin,"OUEME,BONOU,ATCHONSA,DOGBA carré 2855",paulettegodard@gmail.com,+22991633964,ingénieur procédés en chimie
Matthieu Laurent,1955-10-03,Masculin,"ALIBORI,GOGOUNOU,BAGOU,GARAGORO carré 6352",matthieulaurent@gmail.com,+22968629402,chef de projet informatique
Zoé Gonzalez,1986-01-28,Masculin,"COUFFO,DJAKOTOMEY,KINKINHOUE,DASSOUHOUE carré 5439",zoégonzalez@gmail.com,+22964671205,responsable e-CRM
Suzanne Bonneau,2019-03-30,Féminin,"BORGOU,TCHAOUROU,KIKA,TANDOU carré 2495",,,
Roland de la Gérard,2009-03-05,Masculin,"ZOU,AGBANGNIZOUN,LISSAZOUNME,ZOUNGBO-GBLOME carré 4948",,,
Bertrand Charles,1962-05-20,Masculin,"ALIBORI,BANIKOARA,FOUNOUGO,KPAKO-GBABI carré 7789",bertrandcharles@gmail.com,+22968626209,infirmier
Christine Descamps,1989-08-31,Masculin,"COLLINES,DASSA-ZOUME,DASSA I,AGBEGBE carré 4123",christinedescamps@gmail.com,+22994667415,chargé de production
Denis Duhamel,1931-04-30,Masculin,"ATACORA,KOUANDE,GUILMARO,SERI carré 1727",denisduhamel@gmail.com,+22994908514,gestionnaire de données cliniques
Margaux du Rodrigues,1995-01-29,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,TOGBIN-DAHO carré 4575",margauxdurodrigues@gmail.com,+22956058638,technicien logistique
Patrick Courtois,1945-10-20,Masculin,"BORGOU,KALALE,BOUCA,BESSASSI-BOUCA carré 3509",patrickcourtois@gmail.com,+22998435281,responsable de la promotion des ventes
Caroline Dufour,1938-04-13,Masculin,"BORGOU,TCHAOUROU,TCHATCHOU,GBEKPANIN carré 7528",carolinedufour@gmail.com,+22968381782,auditeur interne
Nath Loiseau,1998-07-07,Féminin,"COLLINES,SAVE,PLATEAU,BOUBOUHOU carré 9942",nathloiseau@gmail.com,+22952327866,horticulteur
Roger Lambert,1974-05-15,Masculin,"COUFFO,APLAHOUE,AZOVE,YEHOUEMEY carré 0330",rogerlambert@gmail.com,+22956725810,consultant en solutions intégrées
Élisabeth Letellier,1937-01-28,Masculin,"ATLANTIQUE,TOFFO,DAME,DOLOUVI carré 7147",élisabethletellier@gmail.com,+22994528021,responsable du service après-vente
Guillaume de la Nguyen,1940-06-08,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,LADJIFARANI-PETIT PERE carré 7892",guillaumedelanguyen@gmail.com,+22999646212,auditeur qualité
Inès Nicolas,2002-12-19,Masculin,"BORGOU,KALALE,PEONGA,ANGARADEBOU carré 7290",inèsnicolas@gmail.com,+22950264410,développeur informatique
Émilie Hebert-Pottier,1955-11-19,Masculin,"ATACORA,TOUKOUNTOUNA,TAMPEGRE,TCHANHORTA carré 9666",émiliehebert-pottier@gmail.com,+22995913396,ingénieur métallurgiste
Célina Guilbert,1948-06-22,Masculin,"ATLANTIQUE,ALLADA,HINVI,TANGA carré 1706",célinaguilbert@gmail.com,+22962554746,ingénieur chimiste
Zacharie Fabre,1962-10-29,Féminin,"OUEME,BONOU,ATCHONSA,AGONHOUI carré 3404",zachariefabre@gmail.com,+22995361935,vendeur en animalerie
Mathilde de la Samson,1981-11-21,Masculin,"ALIBORI,BANIKOARA,BANIKOARA,KOKIRE carré 7400",mathildedelasamson@gmail.com,+22957336770,chargé d'études en marketing
Timothée Pottier-Bonnet,1989-10-30,Masculin,"ATACORA,KEROU,KEROU,GAMBORE carré 9441",timothéepottier-bonnet@gmail.com,+22990746329,ingénieur qualité moteur
Thomas Guichard du Renault,2021-06-19,Masculin,"PLATEAU,POBE,AHOYEYE,IDI-ORO carré 5800",,,
Édith Brunet du Cousin,2010-11-15,Masculin,"ALIBORI,BANIKOARA,OUNET,OUNET-SINAKPAROU carré 9084",,,
Gilles Laroche-Bourdon,1958-06-22,Masculin,"MONO,HOUEYOGBE,DOUTOU,DODJI carré 9979",gilleslaroche-bourdon@gmail.com,+22952824741,technicien céramiste
Chantal Lesage,1983-09-24,Féminin,"COLLINES,BANTE,LOUGBA,ALETAN carré 7518",chantallesage@gmail.com,+22954997771,iconographe
Henri de Didier,1939-11-01,Masculin,"ATACORA,TOUKOUNTOUNA,TAMPEGRE,NABAGA carré 5855",henridedidier@gmail.com,+22965654450,volcanologue
André-Marc Ferrand,1976-04-04,Masculin,"ATLANTIQUE,ZE,ADJAN,ADJAN carré 0151",andré-marcferrand@gmail.com,+22994692418,géologue minier
Arnaude Lemonnier,1980-04-10,Masculin,"OUEME,PORTO-NOVO,4EME ARRONDISSEMENT,KANDEVIE  MISSOGBE carré 8342",arnaudelemonnier@gmail.com,+22952309994,technicien chimiste
Honoré Henry,1936-10-13,Masculin,"COUFFO,DOGBO,DEVE,ZOHOUDJI carré 5621",honoréhenry@gmail.com,+22962949288,médiateur familial familiale
Christophe Besnard-Diaz,1991-12-13,Masculin,"LITTORAL,COTONOU,11EME ARRONDISSEMENT,GBEGAMEY DODO AYIDJE carré 6672",christophebesnard-diaz@gmail.com,+22969117892,conducteur de machines à imprimer
Agnès Besnard,1938-01-03,Masculin,"MONO,COME,OUEDEME-PEDAH,AGBLOTOME carré 5033",agnèsbesnard@gmail.com,+22964595995,chargé d'affaires en génie climatique
Virginie Perret-Étienne,1967-10-15,Féminin,"LITTORAL,COTONOU,5EME ARRONDISSEMENT,ZONGO NIMA carré 4640",virginieperret-étienne@gmail.com,+22962266436,météorologiste
André Coulon-Lambert,1942-03-27,Masculin,"BORGOU,NIKKI,NIKKI,DONKPARAWI carré 8681",andrécoulon-lambert@gmail.com,+22957099080,sommelier
Margot Foucher,1958-05-11,Masculin,"DONGA,COPARGO,PABEGOU,BAMISSO carré 4360",margotfoucher@gmail.com,+22991127880,officier de l'armée de terre
Éric Denis,2005-01-29,Masculin,"MONO,BOPA,GBAKPODJI,AHLOUME carré 7709",,,
Alex Auger,1950-04-04,Masculin,"DONGA,DJOUGOU,DJOUGOU III,BAPARAPE carré 3481",alexauger@gmail.com,+22968193131,ingénieur en énergie solaire
Stéphanie Fischer,1990-11-10,Masculin,"COUFFO,APLAHOUE,DEKPO-CENTRE,LAGBAVE carré 1357",stéphaniefischer@gmail.com,+22956531603,écrivain
Théodore Joseph-Lefebvre,2021-09-11,Féminin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA carré 4617",,,
Hugues Jean,1945-05-05,Masculin,"COLLINES,DASSA-ZOUME,DASSA I,ESSEKPA carré 4258",huguesjean@gmail.com,+22962687407,technicien radioprotection
Christiane Roussel,2007-08-15,Masculin,"PLATEAU,SAKETE,SAKETE 1,IGBO-EYE carré 9226",,,
Éric Dumas,1938-03-22,Masculin,"DONGA,DJOUGOU,DJOUGOU I,SASSIROU carré 8823",éricdumas@gmail.com,+22953847854,généalogiste
Margot Carpentier-Marie,1936-04-09,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,SALAMEY carré 1988",margotcarpentier-marie@gmail.com,+22956094841,cordiste
Arthur Grenier,2015-04-23,Masculin,"PLATEAU,ADJA-OUERE,TATONNONKON,LOGOU carré 9403",,,
Timothée Pelletier,1939-10-23,Masculin,"COLLINES,SAVALOU,SAVALOU-AGBADO,DOZOUNDJI carré 2735",timothéepelletier@gmail.com,+22952239455,pisteur secouriste
Anouk Delahaye-Gimenez,1950-12-03,Masculin,"BORGOU,N'DALI,SIRAROU,GANDOU-NOMBA carré 2553",anoukdelahaye-gimenez@gmail.com,+22995666731,éclairagiste
Franck Georges,2004-12-22,Masculin,"COUFFO,LALO,ZALLI,ADJASSAGON carré 6161",franckgeorges@gmail.com,+22990018456,conducteur routier routière
Julien Devaux,1965-09-22,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,DJEDJE-LAYE carré 1417",juliendevaux@gmail.com,+22995267781,ergothérapeute
Élise Gillet de la Hamon,2017-05-15,Masculin,"BORGOU,KALALE,BOUCA,BESSASSI-BOUCA carré 5196",,,
Marine-Aimée Michel,1966-11-26,Masculin,"COUFFO,KLOUEKANMEY,DJOTTO,DAVIHOUE carré 4628",marine-aiméemichel@gmail.com,+22964504304,hydrogéologue
Olivie Muller,1956-03-22,Masculin,"OUEME,AVRANKOU,ATCHOUKPA,TANZOUN carré 3778",oliviemuller@gmail.com,+22994356962,généalogiste
Henri Dupuy-Parent,1973-08-05,Masculin,"ATACORA,BOUKOUMBE,KORONTIERE,NATIENI carré 8313",henridupuy-parent@gmail.com,+22991795093,designer industriel industrielle
Virginie Diallo,1966-06-29,Féminin,"COLLINES,SAVALOU,LAHOTAN,AHITO carré 6860",virginiediallo@gmail.com,+22957309224,batelier
Alphonse Le Peron,1984-06-15,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,ABIKOUHOLI carré 2248",alphonseleperon@gmail.com,+22965505960,guide de haute montagne
William Millet,1932-05-19,Masculin,"ATLANTIQUE,SO-AVA,GANVIE 1,GANSOUGBAMEY carré 8118",williammillet@gmail.com,+22994508347,statisticien industriel industrielle
Émile Lucas de la Dias,1962-01-23,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,CADJEHOUN GARE carré 4829",émilelucasdeladias@gmail.com,+22957326939,ingénieur analogicien analogicienne
Margaux Roy,1947-05-29,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,BAKPEROU carré 2463",margauxroy@gmail.com,+22996039794,conseiller en assurances
Julien Barre,1937-03-16,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,GOUNIN carré 7662",julienbarre@gmail.com,+22968043081,orthoprothésiste
Bernadette-Clémence Gilles,1935-11-13,Masculin,"DONGA,BASSILA,MANIGRI,MANIGRI OKE IGBOELE carré 5408",bernadette-clémencegilles@gmail.com,+22995726002,ingénieur méthodes mécaniques
Sébastien Le Gall,1969-07-16,Masculin,"ALIBORI,KANDI,ANGARADEBOU,FOUET carré 0629",sébastienlegall@gmail.com,+22997340549,télévendeur
Frédérique Fabre,1957-01-15,Féminin,"OUEME,ADJARRA,MEDEDJONOU,MEDEDJONOU carré 5694",frédériquefabre@gmail.com,+22964805401,géomètre-topographe
Timothée Camus-Marty,2001-09-25,Masculin,"COLLINES,GLAZOUE,AKLAMPA,AFFIZOUNGO carré 0669",timothéecamus-marty@gmail.com,+22965330243,ingénieur technico-commercial technico-commerciale
Valérie de Pottier,1963-05-22,Masculin,"PLATEAU,POBE,POBE,POBE-NORD carré 9835",valériedepottier@gmail.com,+22996732903,consultant en conduite de changement
Odette Roux,1979-09-21,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,DONATEN carré 2858",odetteroux@gmail.com,+22968524811,staffeur-ornemaniste
Margaux-Laurence Leduc,1947-11-07,Masculin,"ATLANTIQUE,SO-AVA,AHOMEY-LOKPO,KINTO OUDJRA carré 0638",margaux-laurenceleduc@gmail.com,+22968128487,conseiller en assurances
Thibaut de la Lombard,2006-04-19,Masculin,"MONO,COME,COME,SOSSIGBE carré 0958",,,
Véronique Martins de Fleury,1958-09-15,Masculin,"ATACORA,NATITINGOU,NATITINGOU III,KANTABORIFA carré 8004",véroniquemartinsdefleury@gmail.com,+22994238241,concepteur-rédacteur
Brigitte Nicolas-Chrétien,1941-11-25,Masculin,"BORGOU,BEMBEREKE,BEMBEREKE,KOSSOU carré 2552",brigittenicolas-chrétien@gmail.com,+22999224277,moniteur de ski
Roland Lenoir,1995-12-20,Masculin,"MONO,ATHIEME,ATCHANNOU,AKONANA carré 0786",rolandlenoir@gmail.com,+22965297322,agent d'exploitation de l'eau
Sébastien Potier,1951-08-11,Masculin,"ATLANTIQUE,OUIDAH,AVLEKETE,AHOUANDJI carré 1983",sébastienpotier@gmail.com,+22968560343,chef de projet démantèlement nucléaire
Jean Roy,2018-10-12,Masculin,"ATACORA,COBLY,COBLY,NANAGADE carré 4479",,,
Gabrielle Hamon,1983-12-09,Masculin,"OUEME,AKPRO-MISSERETE,AKPRO-MISSERETE,AKPRO-MISSERETE carré 8707",gabriellehamon@gmail.com,+22995625034,maçon
Jean Guilbert-Lenoir,1950-12-11,Masculin,"ATLANTIQUE,ALLADA,HINVI,ZOUNGBOMEY carré 0634",jeanguilbert-lenoir@gmail.com,+22956222851,agent général générale d'assurances
Alex Becker,1983-05-04,Masculin,"COLLINES,DASSA-ZOUME,AKOFFODJOULE,BETECOUCOU carré 5530",alexbecker@gmail.com,+22994010826,électronicien automobile
Agnès Picard,1958-05-14,Masculin,"OUEME,PORTO-NOVO,1ER ARRONDISSEMENT,SADOGNON-WOUSSA carré 7437",agnèspicard@gmail.com,+22994364156,dessinateur-projeteur
Stéphane de la Fernandes,1986-01-21,Masculin,"DONGA,COPARGO,SINGRE,KATABAM carré 7645",stéphanedelafernandes@gmail.com,+22994678573,opérateur en traitement des matériaux
Philippe Le Gall,2015-09-24,Masculin,"OUEME,ADJOHOUN,AKPADANOU,SEKODJI carré 5987",,,
Michel Dupré,1988-06-15,Masculin,"ZOU,BOHICON,AGONGOINTO,ZOUNGOUDO carré 2534",micheldupré@gmail.com,+22961095825,administrateur de spectacle
Mathilde Picard du Delmas,2022-11-09,Masculin,"PLATEAU,KETOU,ODOMETA,ATANKA carré 4728",,,
Martine Bigot,2000-06-24,Masculin,"COLLINES,GLAZOUE,AKLAMPA,AFFIZOUNGO carré 3577",martinebigot@gmail.com,+22965591377,halieute
Éric Pires,1978-04-23,Masculin,"COLLINES,SAVE,PLATEAU,SAVE-NOUVEAU carré 4358",éricpires@gmail.com,+22998078333,responsable des ouvrages hydroélectriques
Astrid Lenoir,1964-02-16,Masculin,"COUFFO,APLAHOUE,AZOVE,AZOVE CENTRE carré 3729",astridlenoir@gmail.com,+22994091421,conseiller en séjour
Alex Le Bouchet,1959-02-24,Masculin,"DONGA,DJOUGOU,ONKLOU,DARINGA carré 4620",alexlebouchet@gmail.com,+22968398527,juge d'instruction
Emmanuel Roussel de Schneider,1989-10-24,Masculin,"OUEME,PORTO-NOVO,1ER ARRONDISSEMENT,SOKOMEY-TOFFINKOMEY carré 5132",emmanuelrousseldeschneider@gmail.com,+22959963060,professeur d'éducation physique et sportive (EPS)
Frédérique Fernandes du Bouchet,1996-05-21,Masculin,"ZOU,BOHICON,AVOGBANNA,ZOUNZONME carré 6623",frédériquefernandesdubouchet@gmail.com,+22994799971,professeur des écoles des écoles
Marcel David,2003-11-12,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,KPAKPAME carré 4591",marceldavid@gmail.com,+22964365466,comédien
Victor Michel,1996-10-07,Masculin,"COUFFO,KLOUEKANMEY,ADJAHONME,ADJAHONME carré 7562",victormichel@gmail.com,+22952892965,ingénieur en imagerie médicale
Éric Morel,1966-02-19,Masculin,"PLATEAU,ADJA-OUERE,MASSE,MASSE carré 9519",éricmorel@gmail.com,+22967553934,technicien d'analyses biomédicales
Nathalie Da Silva,1939-04-18,Féminin,"ALIBORI,BANIKOARA,TOURA,SINWOUGOUROU carré 4369",nathaliedasilva@gmail.com,+22996252456,secrétaire
Corinne-Émilie Loiseau,1961-10-03,Féminin,"COLLINES,SAVALOU,SAVALOU-AGA,SOHEDJI carré 9383",corinne-émilieloiseau@gmail.com,+22967826614,océanologue
André-Rémy Bouchet,1995-02-14,Masculin,"BORGOU,BEMBEREKE,GAMIA,GANRO carré 2506",andré-rémybouchet@gmail.com,+22968081839,opérateur de fabrication de produits alimentaires
Margaud Olivier,2007-04-11,Masculin,"ATACORA,KOUANDE,OROUKAYO,NIARISSINRA carré 5019",,,
Théophile de Martel,1980-10-24,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,AHOUANSORI TOWETA carré 8800",théophiledemartel@gmail.com,+22969882251,mouleur-noyauteur
Théophile Pineau,1990-07-11,Féminin,"ZOU,BOHICON,SACLO,ATCHONME carré 9921",théophilepineau@gmail.com,+22964097696,chef d'exploitation des remontées mécaniques
Luc Lévêque-Carre,2001-04-16,Féminin,"ATACORA,COBLY,TAPOGA,ZANNIOURI carré 1600",luclévêque-carre@gmail.com,+22968599893,attaché de recherche clinique (ARC)
Olivier-Alexandre Lambert,2007-02-27,Masculin,"DONGA,OUAKE,BADJOUDE,KAKPALA carré 9180",,,
Paul Meyer,1996-07-16,Masculin,"ALIBORI,KARIMAMA,BIRNI LAFIA,BIRNI LAFIA carré 1806",paulmeyer@gmail.com,+22956585654,agronome
Augustin Berger-Turpin,1966-08-14,Masculin,"OUEME,PORTO-NOVO,3EME ARRONDISSEMENT,OGANLA SOKE carré 1957",augustinberger-turpin@gmail.com,+22968585717,technicien de maintenance en informatique
Christophe de la Sauvage,1973-01-12,Féminin,"ZOU,BOHICON,LISSEZOUN,HOUNDON carré 3056",christophedelasauvage@gmail.com,+22969538474,responsable approvisionnement
Sylvie Alexandre,2011-03-07,Féminin,"BORGOU,KALALE,DERASSI,GNEL-KELE carré 2271",,,
Stéphanie Guichard,1964-03-30,Masculin,"PLATEAU,ADJA-OUERE,MASSE,OGOURO carré 0490",stéphanieguichard@gmail.com,+22956686377,volcanologue
Margot Gilbert,1996-08-18,Masculin,"OUEME,ADJARRA,AGLOGBE,BOKOVI-TCHAKA carré 5319",margotgilbert@gmail.com,+22969002883,testeur
Inès Diaz de Blanchet,1961-11-16,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,SOHOMEY carré 2359",inèsdiazdeblanchet@gmail.com,+22994276211,consultant en informatique décisionnelle
Constance de la Lejeune,2006-11-12,Féminin,"ALIBORI,SEGBANA,LIBANTE,LIBANTE carré 4736",,,
Stéphanie Colas,1987-01-26,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,FIGNONHOU carré 6546",stéphaniecolas@gmail.com,+22956422063,ingénieur en caractérisation des matériaux
Yves-Robert Mahe,1931-04-29,Féminin,"COUFFO,TOVIKLIN,HOUEDOGLI,HOUEGANGBE carré 7057",yves-robertmahe@gmail.com,+22962253980,hôtesse de l'air
Claire Mercier-Garnier,2013-07-13,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,TANKPE TANME carré 6835",,,
Louis Perez,2013-05-12,Masculin,"COLLINES,BANTE,BANTE,BASSON carré 1186",,,
Dorothée Duval,2005-08-11,Masculin,"ZOU,ZA-KPOTA,ALLAHE,AMLIHOHOUE-JARDIN carré 7184",,,
Alexandrie Rodrigues,2020-12-07,Masculin,"PLATEAU,IFANGNI,IFANGNI,GBOKOU carré 9396",,,
Camille Morvan,2001-02-12,Masculin,"ATACORA,MATERI,DASSARI,PORGA carré 8500",camillemorvan@gmail.com,+22957839087,auditeur externe
