Dates,Noms,Déplacements,Documents,Numéro_du_document,Frontières,Destinations
2014-05-05,Raymond Carlier,Entrée,Carte nationale dIdentité,57218606,Aéroport de Cotonou,Bénin
2014-05-05,Alfred Chauvin de la Pichon,Sortie,Carte nationale dIdentité,76716536,Burikina-Faso,Burikina-Faso
2014-05-05,Honoré Gaillard,Entrée,Carte nationale dIdentité,80038721,Burikina-Faso,Bénin
2014-05-05,Paul-Noël Bousquet,Entrée,Carte nationale dIdentité,11977418,Burikina-Faso,Bénin
2014-05-06,Gilles Vincent,Sortie,Carte nationale dIdentité,38546145,Nigéria,Nigéria
2014-05-06,Vincent Rodrigues,Entrée,Carte nationale dIdentité,48281140,Burikina-Faso,Bénin
2014-05-06,Brigitte Coste,Entrée,Passeport,12416039,Togo,Bénin
2014-05-07,Olivie de la Bonnet,Sortie,Carte nationale dIdentité,57136494,Niger,Niger
2014-05-07,Jules Guillot,Sortie,Carte nationale dIdentité,31187198,Nigéria,Nigéria
2014-05-08,Catherine Ferreira,Entrée,Passeport,96490026,Aéroport de Cotonou,Bénin
2014-05-08,Patrick Blin,Entrée,Carte nationale dIdentité,15474831,Aéroport de Cotonou,Bénin
2014-05-08,Adrien Dumont de la Rolland,Entrée,Carte nationale dIdentité,31519716,Aéroport de Cotonou,Bénin
2014-05-08,Stéphanie Le Gall,Entrée,Passeport,72867715,Aéroport de Cotonou,Bénin
2014-05-08,Joséphine Girard,Entrée,Carte nationale dIdentité,46608541,Togo,Bénin
2014-05-08,Noël Fleury,Entrée,Passeport,93654184,Aéroport de Cotonou,Bénin
2014-05-08,Alfred Ledoux,Entrée,Carte nationale dIdentité,84628361,Togo,Bénin
2014-05-08,Anastasie Guillet-Rodrigues,Sortie,Carte nationale dIdentité,36216457,Nigéria,Nigéria
2014-05-08,Constance Delaunay,Sortie,Passeport,92344653,Nigéria,Nigéria
2014-05-08,Daniel-Augustin Bernard,Sortie,Carte nationale dIdentité,69844718,Aéroport de Cotonou,Bhoutan
2014-05-09,Bernard Le Gall,Sortie,Carte nationale dIdentité,89734896,Nigéria,Nigéria
2014-05-10,Constance Blanchet-Goncalves,Entrée,Carte nationale dIdentité,23776825,Niger,Bénin
2014-05-10,Stéphane Hardy,Entrée,Carte nationale dIdentité,56174053,Niger,Bénin
2014-05-10,Éric Boulay-Michel,Sortie,Carte nationale dIdentité,56983425,Aéroport de Cotonou,Tokelau
2014-05-10,Frédérique Roux-Blanchard,Entrée,Carte nationale dIdentité,99908498,Burikina-Faso,Bénin
2014-05-10,Joséphine Girard,Sortie,Passeport,15436715,Burikina-Faso,Burikina-Faso
2014-05-10,Lucas Baron,Sortie,Passeport,68716585,Togo,Togo
2014-05-11,Catherine Ferreira,Sortie,Carte nationale dIdentité,29046672,Togo,Togo
2014-05-11,Richard-Joseph Marchal,Entrée,Carte nationale dIdentité,76161259,Niger,Bénin
2014-05-11,Gabrielle Mendès,Entrée,Carte nationale dIdentité,22339890,Burikina-Faso,Bénin
2014-05-11,Thomas Gimenez,Sortie,Carte nationale dIdentité,49032897,Togo,Togo
2014-05-11,Honoré-Yves Girard,Sortie,Carte nationale dIdentité,80328424,Togo,Togo
2014-05-12,William Samson,Sortie,Passeport,16836291,Togo,Togo
2014-05-12,Agnès Bouvier-Royer,Sortie,Passeport,83166742,Aéroport de Cotonou,Hong Kong
2014-05-12,Gilles Vincent,Sortie,Carte nationale dIdentité,38546145,Togo,Togo
2014-05-12,Frédéric Lambert,Sortie,Passeport,75448784,Togo,Togo
2014-05-12,Hugues Petit,Entrée,Carte nationale dIdentité,65877696,Togo,Bénin
2014-05-12,Luc Baron,Sortie,Passeport,83688202,Burikina-Faso,Burikina-Faso
2014-05-12,Astrid Baudry,Sortie,Carte nationale dIdentité,28785686,Aéroport de Cotonou,Algérie
2014-05-12,Jeanne Lecomte,Entrée,Carte nationale dIdentité,58868621,Togo,Bénin
2014-05-13,Cécile Dufour,Entrée,Passeport,94364673,Aéroport de Cotonou,Bénin
2014-05-13,Alexandre Seguin,Sortie,Carte nationale dIdentité,11105856,Aéroport de Cotonou,Bouvet (Îles)
2014-05-13,Lucy-Brigitte Turpin,Entrée,Carte nationale dIdentité,92906572,Aéroport de Cotonou,Bénin
2014-05-13,Constance Delaunay,Sortie,Passeport,92344653,Nigéria,Nigéria
2014-05-13,Patrick Gaillard,Sortie,Passeport,5167925,Burikina-Faso,Burikina-Faso
2014-05-13,Margaret-Brigitte Gosselin,Entrée,Passeport,77805595,Aéroport de Cotonou,Bénin
2014-05-14,Gabriel Ramos,Sortie,Passeport,98140213,Burikina-Faso,Burikina-Faso
2014-05-14,Christophe Le Legros,Entrée,Passeport,28744194,Burikina-Faso,Bénin
2014-05-14,Denise Peltier,Sortie,Passeport,88075994,Aéroport de Cotonou,Érythrée
2014-05-14,Catherine-Michelle Mendès,Sortie,Carte nationale dIdentité,44931391,Burikina-Faso,Burikina-Faso
2014-05-14,Alex Durand,Sortie,Passeport,36481785,Aéroport de Cotonou,Somalie
2014-05-14,Jérôme Marques-Lemaire,Entrée,Carte nationale dIdentité,98865837,Aéroport de Cotonou,Bénin
2014-05-14,Édouard Poirier,Sortie,Carte nationale dIdentité,63063476,Burikina-Faso,Burikina-Faso
2014-05-15,Louis Bouchet,Entrée,Carte nationale dIdentité,59340499,Niger,Bénin
2014-05-15,Thibaut Peltier Le Guilbert,Sortie,Passeport,59807690,Niger,Niger
2014-05-15,Éric Boulay-Michel,Entrée,Carte nationale dIdentité,56983425,Burikina-Faso,Bénin
2014-05-15,Pénélope Olivier,Sortie,Passeport,63133313,Nigéria,Nigéria
2014-05-15,Antoinette Navarro,Entrée,Carte nationale dIdentité,31667670,Aéroport de Cotonou,Bénin
2014-05-15,Arthur Texier,Entrée,Carte nationale dIdentité,10180791,Burikina-Faso,Bénin
2014-05-16,Monique Guibert,Sortie,Carte nationale dIdentité,19026443,Togo,Togo
2014-05-16,Élise Hoareau-Simon,Sortie,Carte nationale dIdentité,47685346,Togo,Togo
2014-05-17,Mathilde Roger-Techer,Entrée,Carte nationale dIdentité,92515708,Niger,Bénin
2014-05-18,Frédérique Roux-Blanchard,Sortie,Carte nationale dIdentité,99908498,Aéroport de Cotonou,Tadjikistan
2014-05-19,Lucie-Valérie Baron,Entrée,Carte nationale dIdentité,72599140,Togo,Bénin
2014-05-19,Maurice de Chartier,Entrée,Passeport,25103184,Aéroport de Cotonou,Bénin
2014-05-20,Adrien Dumont de la Rolland,Sortie,Carte nationale dIdentité,31519716,Togo,Togo
2014-05-20,Dorothée Leclercq-Besson,Entrée,Passeport,23348331,Nigéria,Bénin
2014-05-20,Constance Blanchet-Goncalves,Sortie,Carte nationale dIdentité,23776825,Niger,Niger
2014-05-20,Jérôme Marques-Lemaire,Sortie,Carte nationale dIdentité,98865837,Nigéria,Nigéria
2014-05-20,Adèle Lambert,Entrée,Passeport,16729443,Niger,Bénin
2014-05-21,Arnaude du Gomes,Entrée,Passeport,12915761,Nigéria,Bénin
2014-05-21,Bernard Le Gall,Entrée,Carte nationale dIdentité,89734896,Togo,Bénin
2014-05-21,Adèle Gautier,Entrée,Carte nationale dIdentité,87611171,Niger,Bénin
2014-05-21,Éric Le Morel,Entrée,Carte nationale dIdentité,78662646,Niger,Bénin
2014-05-22,Vincent Barbe,Entrée,Passeport,19843879,Burikina-Faso,Bénin
2014-05-22,Honoré Gaillard,Entrée,Passeport,14210243,Togo,Bénin
2014-05-23,Gabrielle Mendès,Sortie,Carte nationale dIdentité,22339890,Aéroport de Cotonou,Lettonie
2014-05-23,Andrée Guillaume,Entrée,Carte nationale dIdentité,1093573,Nigéria,Bénin
2014-05-24,Élisabeth Delorme-Baron,Sortie,Carte nationale dIdentité,19480396,Nigéria,Nigéria
2014-05-24,Honoré-Yves Girard,Entrée,Passeport,75008183,Togo,Bénin
2014-05-24,Catherine-Michelle Mendès,Entrée,Carte nationale dIdentité,44931391,Nigéria,Bénin
2014-05-25,Alice Michaud de Da Costa,Sortie,Carte nationale dIdentité,58028367,Burikina-Faso,Burikina-Faso
2014-05-25,Jeanne Lecomte,Entrée,Carte nationale dIdentité,58868621,Aéroport de Cotonou,Bénin
2014-05-25,Luc Peron,Entrée,Carte nationale dIdentité,59999267,Burikina-Faso,Bénin
2014-05-25,Hortense Bodin,Sortie,Passeport,27778750,Togo,Togo
2014-05-25,Olivie-Anaïs Fouquet,Entrée,Passeport,30439145,Nigéria,Bénin
2014-05-26,Cécile Dufour,Entrée,Passeport,94364673,Togo,Bénin
2014-05-26,Margaret Caron,Sortie,Passeport,41100980,Burikina-Faso,Burikina-Faso
2014-05-26,Éric Le Morel,Sortie,Passeport,83867387,Niger,Niger
2014-05-26,Diane Perrin,Sortie,Passeport,35097059,Niger,Niger
2014-05-26,Grégoire Maillet,Entrée,Passeport,27778441,Togo,Bénin
2014-05-27,Thibaut Peltier Le Guilbert,Entrée,Carte nationale dIdentité,75367576,Togo,Bénin
2014-05-27,Gilbert Marie-Laine,Sortie,Passeport,1605475,Nigéria,Nigéria
2014-05-27,Sophie Adam,Entrée,Carte nationale dIdentité,54586070,Niger,Bénin
2014-05-27,Olivier Lecomte,Sortie,Passeport,71873207,Nigéria,Nigéria
2014-05-28,Anne Leblanc,Entrée,Carte nationale dIdentité,83937688,Niger,Bénin
2014-05-28,Claude de la Neveu,Sortie,Carte nationale dIdentité,70868530,Nigéria,Nigéria
2014-05-28,Diane Potier,Sortie,Carte nationale dIdentité,54174384,Burikina-Faso,Burikina-Faso
2014-05-28,Chantal Martinez-Roux,Entrée,Passeport,57650623,Nigéria,Bénin
2014-05-28,Luc Peron,Entrée,Carte nationale dIdentité,59999267,Nigéria,Bénin
2014-05-29,Yves Briand du Albert,Sortie,Passeport,17958495,Niger,Niger
2014-05-29,Camille Guichard-Delannoy,Entrée,Carte nationale dIdentité,72956318,Togo,Bénin
2014-05-29,Jean Cohen du Neveu,Entrée,Passeport,19327779,Burikina-Faso,Bénin
2014-05-29,Gabriel Ramos,Entrée,Carte nationale dIdentité,36705768,Niger,Bénin
2014-05-29,Georges Guillou-Blondel,Entrée,Passeport,98306589,Niger,Bénin
2014-05-30,Gabrielle Mendès,Entrée,Carte nationale dIdentité,22339890,Burikina-Faso,Bénin
2014-05-30,Margaret Caron,Entrée,Carte nationale dIdentité,58961409,Aéroport de Cotonou,Bénin
2014-05-30,Laetitia Mallet,Sortie,Carte nationale dIdentité,30915748,Nigéria,Nigéria
2014-05-30,Alix Turpin,Sortie,Passeport,31357489,Aéroport de Cotonou,Rép. Dém. du Congo
2014-05-30,Laetitia Mallet,Sortie,Carte nationale dIdentité,30915748,Niger,Niger
2014-05-30,Sabine de la Regnier,Entrée,Carte nationale dIdentité,18647395,Aéroport de Cotonou,Bénin
2014-05-31,Alfred Ledoux,Entrée,Passeport,17917817,Niger,Bénin
2014-05-31,Margaux Allain,Entrée,Passeport,62705404,Niger,Bénin
2014-05-31,Amélie-Aimée Michel,Entrée,Carte nationale dIdentité,56302175,Nigéria,Bénin
2014-05-31,Aimé Renault de Garcia,Sortie,Passeport,42285325,Aéroport de Cotonou,Tunisie
2014-05-31,Olivie-Anaïs Fouquet,Entrée,Passeport,30439145,Aéroport de Cotonou,Bénin
2014-05-31,Jérôme Bailly du Dupont,Sortie,Carte nationale dIdentité,46077350,Nigéria,Nigéria
2014-05-31,Alfred Ledoux,Entrée,Carte nationale dIdentité,84628361,Aéroport de Cotonou,Bénin
2014-06-01,Gabrielle Delahaye,Entrée,Passeport,79375255,Nigéria,Bénin
2014-06-01,Gabriel Ramos,Sortie,Passeport,98140213,Togo,Togo
2014-06-01,Joséphine Girard,Sortie,Passeport,15436715,Niger,Niger
2014-06-01,Martine Maury,Entrée,Passeport,22458094,Burikina-Faso,Bénin
2014-06-01,Éric Mercier,Sortie,Carte nationale dIdentité,37843101,Niger,Niger
2014-06-03,Georges Guillou-Blondel,Sortie,Carte nationale dIdentité,11848145,Togo,Togo
2014-06-03,Alfred Chauvin de la Pichon,Entrée,Passeport,69225022,Niger,Bénin
2014-06-03,Antoinette Navarro,Sortie,Carte nationale dIdentité,31667670,Nigéria,Nigéria
2014-06-03,Patricia du Tanguy,Sortie,Passeport,37823140,Togo,Togo
2014-06-03,Louis Coulon,Sortie,Carte nationale dIdentité,66645145,Nigéria,Nigéria
2014-06-03,Manon Bouchet,Sortie,Carte nationale dIdentité,11226552,Aéroport de Cotonou,Nigeria
2014-06-03,Astrid Baudry,Entrée,Passeport,26970625,Burikina-Faso,Bénin
2014-06-04,Bernard Le Gall,Sortie,Passeport,34750700,Niger,Niger
2014-06-04,Antoinette Navarro,Sortie,Passeport,4648339,Niger,Niger
2014-06-04,Corinne Mallet,Entrée,Carte nationale dIdentité,86528448,Aéroport de Cotonou,Bénin
2014-06-04,Monique Guibert,Sortie,Carte nationale dIdentité,19026443,Nigéria,Nigéria
2014-06-04,Arnaude Martin,Entrée,Passeport,49718999,Aéroport de Cotonou,Bénin
2014-06-04,Gilbert Marie-Laine,Sortie,Passeport,1605475,Aéroport de Cotonou,Norfolk (Îles)
2014-06-05,Jacques Adam-Clerc,Sortie,Passeport,3271940,Burikina-Faso,Burikina-Faso
2014-06-05,Claude de la Neveu,Sortie,Carte nationale dIdentité,70868530,Nigéria,Nigéria
2014-06-05,Jules Guillot,Sortie,Passeport,45404822,Togo,Togo
2014-06-05,Andrée Guillaume,Entrée,Passeport,88971789,Burikina-Faso,Bénin
2014-06-05,Aurore-Véronique Buisson,Entrée,Passeport,33527366,Aéroport de Cotonou,Bénin
2014-06-05,Denise Peltier,Sortie,Carte nationale dIdentité,20318871,Aéroport de Cotonou,Mexique
2014-06-05,Marc Georges,Sortie,Carte nationale dIdentité,12572513,Niger,Niger
2014-06-06,Thierry de la Gomez,Entrée,Passeport,16095380,Niger,Bénin
2014-06-06,Antoinette Navarro,Sortie,Carte nationale dIdentité,31667670,Burikina-Faso,Burikina-Faso
2014-06-07,Margaud-Anaïs Ferreira,Sortie,Passeport,85048912,Aéroport de Cotonou,Svalbard et Jan Mayen (Îles)
2014-06-07,Amélie Labbé-Marion,Sortie,Passeport,3877764,Togo,Togo
2014-06-07,Claude de la Neveu,Sortie,Passeport,87580533,Togo,Togo
2014-06-07,Stéphanie Le Gall,Entrée,Carte nationale dIdentité,40594121,Burikina-Faso,Bénin
2014-06-07,Élisabeth Dias,Sortie,Passeport,53303305,Burikina-Faso,Burikina-Faso
2014-06-08,Brigitte Coste,Entrée,Carte nationale dIdentité,95656939,Togo,Bénin
2014-06-08,Stéphane Hardy,Sortie,Carte nationale dIdentité,56174053,Nigéria,Nigéria
2014-06-08,Gérard de Aubry,Entrée,Carte nationale dIdentité,8862796,Burikina-Faso,Bénin
2014-06-08,Gérard de Aubry,Entrée,Passeport,32344941,Burikina-Faso,Bénin
2014-06-08,Denis de Guillaume,Sortie,Carte nationale dIdentité,69909091,Burikina-Faso,Burikina-Faso
2014-06-09,Mathilde Roger-Techer,Sortie,Carte nationale dIdentité,92515708,Nigéria,Nigéria
2014-06-09,Cécile Fontaine,Sortie,Carte nationale dIdentité,57818333,Burikina-Faso,Burikina-Faso
2014-06-09,Gabrielle Mendès,Entrée,Carte nationale dIdentité,22339890,Aéroport de Cotonou,Bénin
2014-06-09,Antoinette Navarro,Entrée,Passeport,4648339,Aéroport de Cotonou,Bénin
2014-06-09,Suzanne-Luce Briand,Entrée,Passeport,28114039,Nigéria,Bénin
2014-06-09,Andrée Munoz,Entrée,Carte nationale dIdentité,60396819,Nigéria,Bénin
2014-06-09,Andrée Guillaume,Sortie,Carte nationale dIdentité,1093573,Aéroport de Cotonou,Saint-Marin (Rép. de)
2014-06-10,Margaret-Brigitte Gosselin,Sortie,Passeport,77805595,Aéroport de Cotonou,Nouvelle Calédonie
2014-06-10,Adèle Gautier,Sortie,Carte nationale dIdentité,87611171,Niger,Niger
2014-06-10,Raymond Carlier,Sortie,Carte nationale dIdentité,57218606,Nigéria,Nigéria
2014-06-10,Frédérique Roux-Blanchard,Sortie,Carte nationale dIdentité,99908498,Niger,Niger
2014-06-11,Sébastien Pereira,Entrée,Carte nationale dIdentité,93531562,Nigéria,Bénin
2014-06-11,Claude de la Neveu,Entrée,Passeport,87580533,Burikina-Faso,Bénin
2014-06-12,Suzanne-Luce Briand,Entrée,Passeport,28114039,Nigéria,Bénin
2014-06-12,Astrid de la Bertin,Sortie,Carte nationale dIdentité,54499559,Niger,Niger
2014-06-12,Frédéric Lambert,Sortie,Passeport,75448784,Niger,Niger
2014-06-12,Corinne Mallet,Entrée,Carte nationale dIdentité,86528448,Aéroport de Cotonou,Bénin
2014-06-12,Louis Coulon,Entrée,Carte nationale dIdentité,66645145,Burikina-Faso,Bénin
2014-06-13,Paul Bonneau,Entrée,Carte nationale dIdentité,93908991,Aéroport de Cotonou,Bénin
2014-06-14,Vincent du Chartier,Sortie,Passeport,79366260,Aéroport de Cotonou,Tchad
2014-06-14,Cécile Dufour,Sortie,Carte nationale dIdentité,95944177,Burikina-Faso,Burikina-Faso
2014-06-14,Éric Boulay-Michel,Entrée,Carte nationale dIdentité,56983425,Nigéria,Bénin
2014-06-15,David Ruiz,Sortie,Carte nationale dIdentité,74227206,Aéroport de Cotonou,Biélorussie
2014-06-15,Thomas Gimenez,Sortie,Carte nationale dIdentité,49032897,Burikina-Faso,Burikina-Faso
2014-06-15,Olivie-Anaïs Fouquet,Entrée,Carte nationale dIdentité,94777079,Togo,Bénin
2014-06-15,Emmanuel Marchand,Sortie,Carte nationale dIdentité,34368658,Niger,Niger
2014-06-16,Élisabeth Dias,Sortie,Carte nationale dIdentité,48028102,Niger,Niger
2014-06-16,Éric Boulay-Michel,Entrée,Passeport,68774555,Niger,Bénin
2014-06-16,Noël Fleury,Entrée,Carte nationale dIdentité,37519006,Burikina-Faso,Bénin
2014-06-16,Pauline Lebon Le Leconte,Sortie,Passeport,9054750,Nigéria,Nigéria
2014-06-16,Denise Hervé,Sortie,Passeport,65573828,Nigéria,Nigéria
2014-06-17,Laetitia Mallet,Sortie,Carte nationale dIdentité,30915748,Aéroport de Cotonou,Mozambique
2014-06-17,Arthur Paul,Sortie,Carte nationale dIdentité,45240158,Togo,Togo
2014-06-17,Grégoire Guichard,Sortie,Carte nationale dIdentité,86650576,Nigéria,Nigéria
2014-06-17,Andrée Guillaume,Entrée,Passeport,88971789,Burikina-Faso,Bénin
2014-06-17,Geneviève Morvan,Entrée,Carte nationale dIdentité,90612609,Togo,Bénin
2014-06-18,Corinne Mallet,Sortie,Passeport,17571037,Togo,Togo
2014-06-18,Gabriel Ramos,Entrée,Passeport,98140213,Togo,Bénin
2014-06-18,Monique Guibert,Entrée,Passeport,9842353,Burikina-Faso,Bénin
2014-06-18,Alfred Chauvin de la Pichon,Entrée,Passeport,69225022,Niger,Bénin
2014-06-18,Vincent du Chartier,Entrée,Passeport,79366260,Togo,Bénin
2014-06-19,Jeanne Richard,Entrée,Passeport,32659355,Togo,Bénin
2014-06-19,Anastasie Guillet-Rodrigues,Sortie,Carte nationale dIdentité,36216457,Nigéria,Nigéria
2014-06-20,Georges Guillou-Blondel,Sortie,Passeport,98306589,Burikina-Faso,Burikina-Faso
2014-06-20,Margaret-Brigitte Gosselin,Entrée,Passeport,77805595,Nigéria,Bénin
2014-06-20,Noël Fleury,Entrée,Passeport,93654184,Nigéria,Bénin
2014-06-20,Corinne Mallet,Entrée,Passeport,17571037,Nigéria,Bénin
2014-06-21,Gérard de Aubry,Entrée,Passeport,32344941,Togo,Bénin
2014-06-21,Aimé-Augustin Grenier,Entrée,Carte nationale dIdentité,65107351,Aéroport de Cotonou,Bénin
2014-06-21,Georges Guillou-Blondel,Entrée,Carte nationale dIdentité,11848145,Togo,Bénin
2014-06-21,Claire Millet-Chevalier,Entrée,Carte nationale dIdentité,92847998,Nigéria,Bénin
2014-06-21,Adèle Lambert,Sortie,Passeport,16729443,Aéroport de Cotonou,Macédoine
2014-06-21,Margaret-Brigitte Gosselin,Entrée,Passeport,77805595,Nigéria,Bénin
2014-06-22,Denise Peltier,Sortie,Passeport,88075994,Burikina-Faso,Burikina-Faso
2014-06-22,Luc Peron,Entrée,Carte nationale dIdentité,59999267,Nigéria,Bénin
2014-06-22,Hortense Dijoux,Entrée,Passeport,43480653,Togo,Bénin
2014-06-22,Richard-Joseph Marchal,Sortie,Carte nationale dIdentité,76161259,Togo,Togo
2014-06-23,Nicole Breton,Sortie,Passeport,74352813,Niger,Niger
2014-06-23,Éric Le Morel,Sortie,Passeport,83867387,Nigéria,Nigéria
2014-06-23,Manon Bouchet,Sortie,Passeport,33383058,Togo,Togo
2014-06-23,Luc Peron,Entrée,Passeport,79309355,Aéroport de Cotonou,Bénin
2014-06-24,Stéphane Hardy,Sortie,Carte nationale dIdentité,56174053,Nigéria,Nigéria
2014-06-24,Alfred Chauvin de la Pichon,Entrée,Passeport,69225022,Togo,Bénin
2014-06-25,Andrée Guillaume,Sortie,Passeport,88971789,Nigéria,Nigéria
2014-06-25,Andrée Munoz,Sortie,Passeport,23577571,Niger,Niger
2014-06-25,Marine Brunet,Entrée,Carte nationale dIdentité,55540431,Niger,Bénin
2014-06-25,Claire Giraud,Entrée,Passeport,83062659,Burikina-Faso,Bénin
2014-06-26,Jules Guillot,Sortie,Carte nationale dIdentité,31187198,Niger,Niger
2014-06-26,Alexandre Seguin,Sortie,Carte nationale dIdentité,11105856,Burikina-Faso,Burikina-Faso
2014-06-26,Margaux Millet Le Chauvet,Sortie,Passeport,62280792,Niger,Niger
2014-06-26,Nicolas Barbe,Sortie,Carte nationale dIdentité,78282318,Niger,Niger
2014-06-27,Cécile Dufour,Sortie,Passeport,94364673,Aéroport de Cotonou,Groenland
2014-06-27,Luc Peron,Sortie,Carte nationale dIdentité,59999267,Aéroport de Cotonou,"Corée, Sud"
2014-06-27,Mathilde Roger-Techer,Entrée,Passeport,17075918,Nigéria,Bénin
2014-06-27,William Ferrand,Entrée,Passeport,3096757,Nigéria,Bénin
2014-06-28,Nicole du Gosselin,Sortie,Passeport,57583240,Burikina-Faso,Burikina-Faso
2014-06-28,Mathilde Da Costa,Entrée,Passeport,43234013,Nigéria,Bénin
2014-06-28,Gabrielle Mendès,Entrée,Carte nationale dIdentité,22339890,Nigéria,Bénin
2014-06-28,Laetitia Mallet,Entrée,Passeport,59267238,Burikina-Faso,Bénin
2014-06-28,Arnaude Martin,Entrée,Carte nationale dIdentité,51927396,Burikina-Faso,Bénin
2014-06-29,Margaux Millet Le Chauvet,Sortie,Passeport,62280792,Burikina-Faso,Burikina-Faso
2014-06-29,Cécile Dufour,Entrée,Passeport,94364673,Aéroport de Cotonou,Bénin
2014-06-29,Diane Potier,Sortie,Carte nationale dIdentité,54174384,Niger,Niger
2014-06-30,Nathalie Le Lefebvre,Sortie,Passeport,29230474,Niger,Niger
2014-06-30,Luc Peron,Entrée,Passeport,79309355,Togo,Bénin
2014-06-30,Suzanne Girard,Sortie,Passeport,54944727,Togo,Togo
2014-06-30,Brigitte Coste,Entrée,Passeport,12416039,Aéroport de Cotonou,Bénin
2014-07-01,Margot de Dias,Entrée,Carte nationale dIdentité,49562159,Nigéria,Bénin
2014-07-01,Diane Perrin,Entrée,Passeport,35097059,Niger,Bénin
2014-07-01,Nicole Breton,Sortie,Carte nationale dIdentité,4073648,Togo,Togo
2014-07-01,David Vincent,Sortie,Carte nationale dIdentité,4971186,Niger,Niger
2014-07-01,Hortense Bodin,Sortie,Passeport,27778750,Aéroport de Cotonou,Angola
2014-07-01,Constance Blanchet-Goncalves,Sortie,Passeport,64270786,Aéroport de Cotonou,Laos
2014-07-02,Alfred Ledoux,Sortie,Carte nationale dIdentité,84628361,Aéroport de Cotonou,Inde
2014-07-02,Thibaut Peltier Le Guilbert,Entrée,Carte nationale dIdentité,75367576,Aéroport de Cotonou,Bénin
2014-07-02,Édouard Poirier,Sortie,Passeport,54412058,Burikina-Faso,Burikina-Faso
2014-07-02,André Maurice,Entrée,Passeport,59024029,Aéroport de Cotonou,Bénin
2014-07-02,Lucie-Valérie Baron,Sortie,Carte nationale dIdentité,72599140,Aéroport de Cotonou,Anguilla
2014-07-02,Stéphane Hardy,Entrée,Carte nationale dIdentité,56174053,Burikina-Faso,Bénin
2014-07-02,Mathilde Da Costa,Sortie,Passeport,43234013,Togo,Togo
2014-07-02,Thibaut Peltier Le Guilbert,Entrée,Passeport,59807690,Niger,Bénin
2014-07-02,Gilbert Marie-Laine,Entrée,Passeport,1605475,Togo,Bénin
2014-07-02,Louis Coulon,Entrée,Carte nationale dIdentité,66645145,Niger,Bénin
2014-07-02,Guillaume Le Chauvin,Entrée,Carte nationale dIdentité,49324784,Aéroport de Cotonou,Bénin
2014-07-02,Grégoire Guichard,Entrée,Carte nationale dIdentité,86650576,Nigéria,Bénin
2014-07-03,Jacques Adam-Clerc,Entrée,Carte nationale dIdentité,50401195,Aéroport de Cotonou,Bénin
2014-07-03,Roger du Clément,Entrée,Carte nationale dIdentité,54557900,Aéroport de Cotonou,Bénin
2014-07-03,Éric Boulay-Michel,Sortie,Carte nationale dIdentité,56983425,Aéroport de Cotonou,Tunisie
2014-07-03,Victor de la Jacob,Entrée,Passeport,4107982,Aéroport de Cotonou,Bénin
2014-07-03,Suzanne Girard,Entrée,Passeport,54944727,Togo,Bénin
2014-07-04,Astrid de la Bertin,Sortie,Passeport,19992852,Burikina-Faso,Burikina-Faso
2014-07-04,Alfred Chauvin de la Pichon,Sortie,Carte nationale dIdentité,76716536,Aéroport de Cotonou,Mariannes du Nord (Îles)
2014-07-05,Dominique Fontaine,Entrée,Passeport,25070242,Aéroport de Cotonou,Bénin
2014-07-05,Marcel Le Delahaye,Entrée,Carte nationale dIdentité,84831656,Nigéria,Bénin
2014-07-05,Anne Leblanc,Entrée,Passeport,67001108,Niger,Bénin
2014-07-05,Georges Guillou-Blondel,Sortie,Carte nationale dIdentité,11848145,Togo,Togo
2014-07-05,Margaret-Brigitte Gosselin,Entrée,Carte nationale dIdentité,72866161,Nigéria,Bénin
2014-07-05,Vincent du Chartier,Entrée,Passeport,79366260,Niger,Bénin
2014-07-06,Aimé Renault de Garcia,Sortie,Carte nationale dIdentité,11907308,Togo,Togo
2014-07-06,Jérôme Bailly du Dupont,Entrée,Carte nationale dIdentité,46077350,Nigéria,Bénin
2014-07-06,Roger du Clément,Entrée,Carte nationale dIdentité,54557900,Togo,Bénin
2014-07-06,Catherine Ferreira,Sortie,Passeport,96490026,Nigéria,Nigéria
2014-07-06,Catherine-Henriette Marin,Sortie,Passeport,28765613,Niger,Niger
2014-07-06,Guy de la Guillet,Sortie,Carte nationale dIdentité,66674479,Nigéria,Nigéria
2014-07-07,Margot Lenoir,Sortie,Passeport,27406623,Niger,Niger
2014-07-07,Hortense Dijoux,Sortie,Carte nationale dIdentité,78556807,Burikina-Faso,Burikina-Faso
2014-07-07,Timothée Rodriguez-Grondin,Entrée,Carte nationale dIdentité,51691537,Aéroport de Cotonou,Bénin
2014-07-08,Agathe-Nicole Texier,Entrée,Carte nationale dIdentité,41481706,Burikina-Faso,Bénin
2014-07-08,Cécile Dufour,Entrée,Carte nationale dIdentité,95944177,Burikina-Faso,Bénin
2014-07-08,Joseph Peltier-Robert,Sortie,Passeport,43539634,Aéroport de Cotonou,France
2014-07-08,Gabriel Thibault-Dupuy,Entrée,Passeport,6484963,Nigéria,Bénin
2014-07-08,Denise Peltier,Sortie,Carte nationale dIdentité,20318871,Burikina-Faso,Burikina-Faso
2014-07-09,Alfred Chauvin de la Pichon,Sortie,Passeport,69225022,Togo,Togo
2014-07-09,Dominique Fontaine,Sortie,Passeport,25070242,Aéroport de Cotonou,Rép. Dém. du Congo
