Name,Age,is_sentenced
Michel Techer,43,1
Hugues Paris Le Joly,92,1
André Garnier,20,1
Inès de la Boulanger,30,0
Véronique Meyer,32,0
Charlotte du Duval,12,0
Bertrand Fernandez,60,1
Hélène De Sousa,42,1
Aurélie Thomas,35,1
Michel Gomez,3,0
Océane Charpentier,22,1
Margot Gautier du Collin,40,1
Anaïs Lacroix,6,0
Nathalie Lemaire,69,1
Roger du Meyer,56,0
Marthe Royer,14,0
Gilbert de De Sousa,48,1
Léon Hamel,73,1
Édouard Charles,44,1
Arnaude Giraud-Cohen,58,0
Susan Morvan,56,1
Charles Menard,64,1
Aimée Fernandes,32,1
Pierre Costa,1,0
Alix Benard de Fernandes,76,1
Luce-Margot Dumas,33,1
Olivier-Benjamin Barbier,89,1
Daniel Hernandez,59,1
Laure Foucher,47,1
Suzanne-Susanne Rémy,91,1
Jacques Dumas,17,0
Emmanuel Gilles,22,1
Agathe-Margaret Fleury,77,1
Aimé-Alain Leleu,59,1
Sophie de Loiseau,1,0
Guy Le Goff,13,0
Guillaume du Caron,81,1
Théodore Goncalves,80,1
Marguerite Duhamel,89,1
Emmanuelle Pruvost-Benard,5,0
Marie Guichard,38,1
Thomas Voisin de la Laine,73,0
Marianne Muller du Marchal,64,1
Brigitte Collet,70,0
Tristan Noël,42,1
Sophie-Suzanne Louis,18,0
Vincent Roux,72,1
Juliette Gosselin,78,1
Marcelle du Benoit,38,1
Margaud Rossi,65,1
Éric-François Rolland,2,0
Louise Bigot,28,1
Aimé Mary du Marques,92,1
Capucine Alexandre,45,1
Margot Deschamps du Ferrand,81,1
Margaud-Geneviève De Oliveira,73,1
Marthe Becker-Lebrun,53,1
Josette Paris,68,1
Christine Rémy,86,0
Denis-Denis Laporte,32,1
Benjamin Dos Santos,18,0
Luce Neveu,0,0
Amélie de Joly,26,1
Xavier Carpentier,45,1
Bernadette Bertrand,30,1
Thibault Cousin,93,1
Louise Martin,46,1
Thibault-Auguste Fleury,28,1
Hugues Klein du Gaillard,14,0
Rémy Charrier,42,1
Guillaume Lebrun Le Collin,28,1
Guillaume Lucas,5,0
Pauline Guillet-Lucas,45,1
Émilie-Laetitia Launay,3,0
Roger Alves,92,0
André Jacob,26,1
Jacqueline Étienne-Lacombe,28,1
Daniel Roy,75,1
Maryse Collin,41,1
Arthur Roux Le Royer,81,1
Joséphine Jourdan,16,0
Pénélope Delmas,70,0
Augustin-Alphonse Pires,88,1
Thibault Blin,53,1
Noël Hubert,27,1
Nathalie Charpentier-Ledoux,76,0
Eugène Thomas,56,1
Timothée Maréchal,71,0
Françoise Fournier,6,0
Émile Jourdan,31,1
David Andre,84,1
Thomas Jourdan,44,1
Honoré Dupont,60,1
Joséphine Colas,11,0
Suzanne Maillet,49,1
Olivier Duhamel de la Sanchez,57,1
Eugène Delattre-Lebreton,74,1
Célina Garcia,9,0
Gilbert Samson,52,1
Corinne Vincent,23,1
Timothée Lesage de la Rolland,51,1
André Lacroix de Pottier,59,0
Alain Dumont,20,1
Frédéric-Gabriel Riou,8,0
Laurence-Alix Thierry,45,1
Louise Blin,64,0
Manon Chauvin de Martel,49,1
Nicole Weber,73,1
Alice Duval,66,1
Philippe Gilles,6,0
Roger Torres,58,1
Paulette Lopez,16,0
Olivie Leconte,49,1
Raymond Seguin,26,1
Noël Blondel,92,0
Benoît-François Besnard,2,0
Dominique Gilbert de Letellier,9,0
Martin Petitjean-Boyer,59,1
Sébastien Carre Le Devaux,75,0
Louise Bernier,23,1
Stéphanie Lenoir-Paris,80,1
Martine Jourdan-Cordier,87,0
Lucie Besson,13,0
Geneviève Regnier de la Coulon,22,1
Madeleine Hebert,47,1
Christophe du Le Roux,5,0
Alice Merle,2,0
Célina de la Martel,19,0
Éric-Richard Lucas,32,1
Stéphanie Bigot,81,1
Gérard de Leclerc,89,1
Bernadette Rey,7,0
Raymond du Lamy,37,1
Patrick Gros,66,1
Emmanuel Descamps,3,0
Xavier-Tristan Jacquot,59,1
Julien Huet,88,1
Astrid Da Silva,43,1
Antoine Lesage,9,0
Valérie-Mathilde Blanchet,61,1
Gabriel-Christophe Perrin,89,1
Aimé Valette-Rémy,5,0
Yves Jacquet,26,1
Jeannine Jean,51,1
Noémi Jacquet,62,1
Christiane Gosselin,10,0
Léon Brunel,38,1
Caroline Perrier,37,1
Vincent Bernard,20,1
Hortense Maury,25,1
Henriette Raynaud-Le Goff,1,0
Margot-Émilie Leroy,43,1
Sophie Le Roux Le Couturier,2,0
Juliette Brunel,56,1
Thomas-Laurent Lenoir,15,0
Adélaïde Descamps,69,1
Martine-Sabine Gillet,2,0
Joseph Maurice,39,1
Valérie Rey-Dijoux,84,0
Luce Gilles du Marchand,0,0
Jeannine Le Boutin,48,1
Julien de Martin,50,1
Adèle Berthelot-Lefebvre,36,1
Étienne-Alexandre Olivier,15,0
Paulette Guyon,55,1
Eugène Fontaine,89,1
Marie Albert,35,0
Antoine Fabre-Marchand,20,0
Denis Le Texier,60,1
William Hernandez de Philippe,14,0
Paul Baudry,64,1
Roland de Da Silva,10,0
Gilbert Blondel,52,1
Célina-Jeanne Lebrun,63,1
Roland Verdier,27,1
Jérôme-Christophe Gonzalez,27,1
Denis Durand,63,1
Martine Brun,3,0
Gabriel-Arthur Lemoine,15,0
Xavier Fernandez,20,1
Henriette Didier,69,1
Denise Thomas-Gaudin,21,0
Roland Bourdon,43,1
Roger Cousin,31,1
Nathalie-Claire Costa,79,1
Michelle Barre,12,0
Margot Dumont-Valette,38,0
Alain Gomez,15,0
Philippine-Alex Guérin,91,1
Théodore Dupuy de Hoarau,46,1
Hugues Fontaine,43,1
Frédéric Mary,34,1
Tristan Potier-Diallo,83,1
Guillaume-Hugues Couturier,6,0
Guillaume-Benoît Traore,38,1
Guy-Sébastien Rey,85,1
Thibault Martin,57,1
Audrey Collet,24,0
Audrey Chauvet,36,1
Margaret Sanchez,65,1
Julien Guillaume,81,1
Dominique-Claude Bègue,77,1
Alain-Marcel Toussaint,87,1
Michelle Thibault,87,1
Cécile Guyot,92,0
Alphonse-René Rey,9,0
Roland Bailly,0,0
Philippine Monnier,74,1
Margaux Navarro,34,1
Philippine de Bruneau,34,1
Madeleine Le Fouquet,51,1
Chantal Maillard,34,0
Thérèse Boucher-Chauvin,17,0
Jacques-Antoine Roussel,33,1
Alexandria de la Boyer,14,0
Geneviève Cohen,0,0
Luce Mendès,26,1
Richard Dufour,83,1
Alfred Devaux de la Leconte,74,1
Alice du Perrier,0,0
Céline de Cordier,47,1
Alex Pages,42,1
Maurice Fabre,5,0
Augustin Bousquet-Leclercq,83,1
Bernadette-Claire Rolland,2,0
Danielle Fernandez,46,1
David Perrin,29,1
Odette de Olivier,48,1
Marc de la Étienne,58,1
Philippe-Antoine Barthelemy,77,1
Jules Courtois-Marie,86,1
Noémi De Sousa,74,0
Virginie de la Didier,90,1
Eugène Faivre,82,1
Bernadette Aubry,87,1
André Chartier,5,0
Michelle Leduc-Goncalves,9,0
Clémence Traore-Labbé,56,1
Jules Berger,51,1
Sylvie Lelièvre,7,0
Hugues Giraud,72,1
Odette Petit-Leclercq,75,1
Élodie Simon,31,1
Nicolas Cousin-Dufour,47,1
Gérard-Thibaut Paul,8,0
Martin Vaillant,25,1
Honoré Gonzalez,3,0
Henriette Marty,31,1
William-Guy Clerc,48,1
Hortense-Denise Labbé,28,1
Adrien Hoareau,48,1
Charlotte Hoareau de la Bodin,29,1
Théophile Letellier,68,1
Lucy Jacquot du Bazin,75,0
Yves Alexandre de Lopez,72,1
Paul Lemaître,51,1
Claudine Renaud,18,0
Tristan Dijoux,18,0
Dorothée-Valentine Legrand,28,0
Guy Gimenez,20,1
Augustin Dumont,32,1
Gabrielle Rocher,22,1
Sébastien Petitjean,0,0
Olivier Verdier,88,1
Thérèse Le Chrétien,18,0
Juliette Clerc,81,1
Zoé Duval,81,1
Patrick-Benoît Huet,6,0
Susanne Riou,10,0
Manon Bernier,52,1
Émile Guillon,87,1
Étienne Fernandes de la Le Gall,43,1
Édouard Martin-Bonnet,24,0
William Joseph-Jean,93,1
Christine Hamon de Schneider,85,1
Théodore Laine,78,1
Nicole Guibert,15,0
Camille de Thierry,2,0
Bernard Rousseau,17,0
Mathilde Pons,88,1
Alphonse Couturier,58,1
Michèle Garcia,82,1
Roland Fabre,8,0
Juliette Lucas-Mendès,27,1
Léon Ferreira-Fontaine,38,0
Théophile Guichard,8,0
Arthur Sauvage,86,1
Alain Courtois-Rey,21,1
Lucas Loiseau,63,1
Gilbert Giraud,82,0
Amélie Roussel,70,1
Bertrand Gros,78,1
Anaïs Masson,51,1
Madeleine Delorme-Carlier,25,1
Marguerite Valentin,22,0
Aurore Leduc,77,0
Astrid Le Girard,45,1
Amélie Leclerc,75,1
Bertrand Raymond,79,1
David-Richard Evrard,17,0
Adrien-François Boyer,3,0
Jacqueline Colin Le Fernandez,36,1
Adélaïde Carpentier,10,0
Madeleine Germain-Launay,43,1
Élodie Navarro,41,1
Margot Adam,77,1
Élodie Gallet,23,1
Virginie de Richard,38,1
Diane Leclercq du De Sousa,46,1
Lorraine Mathieu,83,1
Audrey Delattre,23,1
Christophe Leduc Le Legrand,12,0
Sophie Lévêque,57,1
Antoinette Fernandez,50,1
Agnès François,24,1
Nath Pichon,91,1
Margaux Hoareau,71,1
Marianne Breton,27,1
Frédéric-Marcel Da Silva,55,1
Eugène Le Payet,72,1
Stéphanie Mathieu,74,1
Marine Coste,93,1
Étienne-Laurent Marty,88,1
Louis-Maurice Parent,2,0
Guy Denis,23,1
Marcel Lemoine-Regnier,22,1
Anaïs-Adélaïde Legendre,4,0
Charles Auger,8,0
Victor Munoz de la Étienne,46,1
Victor-Nicolas Roche,65,1
Antoine Bailly,7,0
David Meunier,93,1
Claude Millet,61,1
Isaac Lecoq,75,1
Xavier Faure-Petit,28,0
Sophie Diaz,28,1
Tristan Hardy-Evrard,10,0
Élisabeth Roche,11,0
Honoré Lopes,28,1
Laurence Maillard,42,1
Lucas Ferrand,11,0
Camille-Pénélope Launay,81,0
Timothée Regnier,84,0
Monique Caron-Renard,89,1
Zacharie Pichon-Bègue,73,1
Édouard Petit,31,1
Jeannine-Pénélope Da Silva,78,1
Guillaume-Thierry Laroche,26,1
François Leclerc,60,1
Laure de Bouvier,71,1
Denise Bousquet,25,1
Michelle Lévêque,34,1
Antoine Philippe Le Chevalier,74,1
Manon Guillou du Pages,43,1
Margot-Arnaude Leleu,85,1
Henri Laurent,60,1
Théodore-Gabriel Pruvost,43,1
Martin Blanchet de Mathieu,66,1
Adrienne Legendre,60,0
Théodore Carre,3,0
Sabine-Michelle Fontaine,83,1
Françoise Schneider,15,0
André Fernandes,48,1
Adèle Duval,63,1
Renée Le Olivier,61,1
William Nicolas,45,1
Océane Alexandre,24,1
Éric Mace,91,1
Émile Techer,38,1
Olivier Jacquet,31,1
Martin Gaillard,22,1
Margaux-Monique Barre,38,1
Émile Chauveau,15,0
Timothée Dupré,47,1
Suzanne Payet,14,0
Marguerite Royer,60,1
Charles Courtois,72,1
Marc Lucas,34,1
Roger Petit-Legros,21,1
Paul-Julien Arnaud,29,1
Monique Bodin,76,1
Jean Gautier,76,1
Henri Julien,58,1
Cécile Perez-Hardy,26,1
Thomas Lenoir,85,1
Tristan Leconte,30,1
Gilles Delattre,41,1
Jérôme-Jacques Jacquot,10,0
Suzanne Briand,13,0
Madeleine Lefèvre,92,0
Eugène-Alphonse Foucher,55,1
Pénélope Leclercq,18,0
Luce Pruvost,58,1
Tristan Maréchal,67,1
Christine Charrier,12,0
William-Adrien Lejeune,31,1
Océane Diallo,33,1
Philippe Dumas,9,0
Georges-Thibaut Cousin,50,0
Timothée Paul,45,1
Françoise Joseph,53,1
Zoé Lacombe,28,1
Zoé Pineau,5,0
Marguerite Berger,68,1
Étienne Hamel de Masson,51,1
Anne du Gomez,37,1
Frédérique-Anastasie Millet,30,1
Inès Le Gall,2,0
Dominique Techer,18,0
Guy de Legros,72,1
Aimée Vallet,58,1
Margaret Rivière,68,1
Zoé Collet de la Moreno,37,0
Catherine Rocher,34,1
Agathe Hebert,44,1
Suzanne Ledoux,27,1
William-Gabriel De Oliveira,45,1
Guy-Adrien Chauvet,67,1
Diane Grondin,50,1
Antoine Guillou-Hardy,23,1
Frédéric-Aimé Legendre,2,0
Nicole Julien,76,1
Luc Simon,61,0
Yves Blot-Delannoy,8,0
Noël-Pierre Ledoux,76,1
Émilie Potier-Mercier,25,1
Emmanuel Pons Le Chrétien,8,0
Agathe de la Louis,34,0
Roland Bodin-Thibault,45,0
Inès Breton-Simon,66,1
Jules Lucas Le Moreno,31,1
Marine Blot-Laine,9,0
Édouard Lamy,54,0
Benoît Guillet Le Lenoir,77,1
Patrick Lelièvre,25,1
Pauline Didier,69,1
Robert Brun,87,1
Louis-Alphonse Ledoux,70,1
Raymond Fernandez,49,0
Inès Rivière,37,1
Nathalie Vidal,83,0
Adélaïde Maillot-Roy,89,1
Adrien du Giraud,18,0
Mathilde Pelletier,44,1
Alix-Sylvie Meunier,11,0
Franck de Boyer,16,0
Gabriel Bernier,35,1
Alain Gilbert,42,1
Lucas Perez,56,0
Manon Lacroix,28,1
Louise-Mathilde Marques,46,0
Xavier Maury-Ramos,23,0
Agathe Léger-Meunier,39,1
Suzanne Thomas,13,0
Alexandria Allard,49,1
Marianne Dias,81,1
Charles Boucher,43,1
Alphonse Bazin,37,1
Maryse Michaud,31,1
Hugues Lévêque de Guibert,71,1
Louis Andre,34,0
Philippe Bertin,6,0
Louise Bertrand,49,0
Charles Raynaud-Ribeiro,79,1
Anaïs Courtois,39,1
Aimée Gilles,91,1
Frédéric du Blanchet,37,1
Adélaïde Valentin,63,1
Julien Leduc,30,1
Gilbert Rolland de Collet,17,0
Marc Delmas,25,0
Gabriel Parent-Evrard,11,0
Benjamin-Franck Courtois,12,0
Marie Maury-Roche,20,1
Zacharie Alexandre-Chevallier,35,1
Dorothée du Auger,72,1
Adrien de Hoarau,78,1
Adrien Toussaint,72,1
Océane de la Devaux,42,1
Joseph Martins,84,1
Aimée-Olivie Foucher,0,0
Xavier Merle,72,1
André Chauvet-Dias,27,1
David Da Silva de la Delmas,78,1
Éric Bertrand,36,1
Brigitte Lévêque,36,1
Cécile Vaillant,14,0
Gabriel Marty,77,1
Roger Vidal Le Dos Santos,68,1
Marguerite Richard,71,1
Hortense Perrier du Barre,10,0
Patrick Roy Le Roux,55,0
Maggie Allard,61,1
Margot Lebrun,24,1
Andrée Coulon de Blot,81,1
Roger de la Samson,69,1
Geneviève Reynaud,0,0
Émile Daniel,31,0
Célina Baudry,78,1
Frédéric Lelièvre-Maréchal,77,1
Isaac de Paris,32,1
Caroline Lévêque,80,1
Victor Brun-Bourgeois,14,0
Amélie du Bazin,61,1
Marcel Baudry,2,0
Victoire Fontaine-Pruvost,48,0
Christiane Lelièvre,10,0
Marcel Marques,19,0
Pénélope Lemaire de la Cohen,0,0
Théophile-Roger Carpentier,25,0
Zoé Roy,31,1
Danielle-Mathilde Poirier,11,0
Alexandrie Boyer de la Duhamel,13,0
Emmanuel Martinez-Bigot,6,0
Jacques Prévost,69,1
Corinne Mace,92,0
Christine Martineau du Hervé,19,0
Stéphanie Potier,61,1
Susanne de Hernandez,48,1
Laure Fournier,59,1
Jacqueline Berger,69,1
Chantal Dupuis,64,1
Colette Meyer,9,0
Vincent Bertrand,11,0
Philippe-Hugues Boulanger,19,0
Michèle Gillet,14,0
Éléonore-Pénélope Hamon,65,1
Zacharie Raymond,35,1
Christelle Dufour,50,1
Monique Jacquet,17,0
Monique Renault-Carre,47,1
Astrid Martinez de Rocher,86,1
Cécile Bernier de Lesage,8,0
Lucas Raynaud du Simon,2,0
Alexandre Jacquot du Fouquet,38,1
René Maréchal,58,1
Sylvie Mendès,67,0
Michelle du Lecoq,20,1
Denise-Zoé Garnier,38,1
Frédéric Bruneau,11,0
Anouk Fournier,63,1
Gérard Gosselin Le Maillet,42,1
Richard Marie-Lebon,74,1
Richard-Roger Hamon,17,0
Simone Laurent,0,0
Philippe Raymond,51,1
Caroline Gilbert,62,1
Alex Pierre,2,0
Édith Boucher-Foucher,18,0
Stéphane Vincent,88,1
Charles Roger,86,1
Michel de Valette,29,1
Sylvie de la De Oliveira,82,1
Charles Leconte-Lecoq,20,1
Bernard Alves,41,1
Gilbert Lopes,9,0
Alain Ferreira,87,1
Susanne Schmitt,12,0
Agathe-Laetitia Charrier,31,1
Laetitia-Susanne Guyon,50,1
Margaret Lombard,74,1
Marianne de la Lecomte,37,1
Charles-Philippe Morin,64,1
Luc du Pereira,31,1
David Boucher,4,0
Gilbert Blondel-Lefèvre,35,1
Alfred Gautier de la Bruneau,15,0
Hortense Alves,16,0
Geneviève Jacob,6,0
Claire Voisin,91,0
Philippe Meyer,49,1
Martine de la Gauthier,4,0
Gilles Schneider,31,1
Cécile Marchal de la Marchand,23,1
Victor Grondin,4,0
Inès Bonneau,4,0
Constance Bruneau,50,1
Luc Michaud-Laurent,39,0
Robert Marty,51,1
Auguste-Zacharie Bonnin,65,1
Patrick Lévêque,85,0
Léon Daniel,14,0
Victor Meyer,27,1
Édith Teixeira,23,1
Nathalie Navarro,55,1
Gilbert Bonnin-Allain,24,1
Henriette Boucher,68,1
Henriette Boucher-Besson,30,1
Claude de la Chrétien,61,1
Jean Mace,62,0
Agathe Leroy,73,0
Noémi De Oliveira-Grenier,85,0
Marthe-Astrid Gaillard,48,0
Martine Maurice,41,1
Pierre Le Delaunay,8,0
Timothée du Parent,59,1
Mathilde Legrand,48,1
Pierre Cordier-Benard,70,1
François Brunet,51,1
Astrid Poirier,40,1
François Gros,69,1
Virginie Daniel,75,1
Élodie Nguyen de la Couturier,37,1
Raymond de Rocher,29,1
Élise Pages,22,1
Franck Philippe,73,1
Arthur Dumas,22,1
Suzanne Philippe,86,1
Lucie Delmas-Benoit,1,0
Lorraine Le Goff,74,0
Andrée Millet Le Fournier,53,1
Aimé-Henri Roussel,39,1
Emmanuel Arnaud,12,0
Aimé Olivier,10,0
Andrée du Collin,60,0
Alexandria Giraud,60,1
Nicolas Marty,50,1
Maryse Le Roux,63,1
Claude-Sabine Schmitt,24,1
Stéphane-Richard Martineau,41,1
Margot Rémy,64,1
Rémy Legros,66,1
Élise-Lucy Pierre,38,1
Luce Pasquier,61,1
Christine Morin,58,0
Alexandre de Gosselin,37,1
Audrey Hervé,8,0
Anne de Charrier,11,0
Margot Petit,12,0
Maggie Morvan,34,1
Zacharie Gonzalez,24,0
Thibault Prévost-Guibert,39,1
Emmanuelle Jacques de la Bousquet,50,1
Aimé Muller,52,1
Patrick Costa,18,0
Claude Faure de Pruvost,77,1
Lucy-Josette Perrier,43,1
Michèle Techer,13,0
Adrien Cohen,67,1
Julie Roger de la Denis,4,0
Capucine Arnaud,75,1
Jean Joseph,85,1
Isabelle Boutin,60,1
Margot Gaudin,58,1
Dominique Vaillant,55,0
René Imbert,50,1
Guillaume Legrand,91,1
Roger Michaud,42,1
Franck-Yves Brunet,54,1
Tristan Moreno-Blanc,34,1
Alphonse Hebert,26,1
Laetitia Letellier,50,1
Dominique Cousin,11,0
Henri de la Dupont,8,0
Éric Bernier-Allain,74,1
Roger Gonzalez,21,1
Constance Le Goff Le Perrot,45,1
Zacharie Perrin,1,0
Renée-Nathalie Colas,86,1
Émile Noël,50,1
Jules de la Lacroix,74,1
Tristan Mallet,59,1
Josette Dumont,86,0
Louise Gaillard,67,1
Inès Chevalier,90,0
Raymond du Briand,17,0
Anouk Germain,90,1
Susanne Duhamel de la Lucas,43,1
Geneviève Carpentier,43,1
Jacqueline Evrard,72,0
Édouard Berthelot,40,1
Luc Breton,22,0
Lucas Hamon du Mary,8,0
Maggie Bouchet,17,0
Jacques Bailly,83,0
William Bazin,68,1
Maggie Colin,28,1
Arthur Colin,49,0
Alain Lelièvre,78,0
Timothée Seguin de Bertrand,40,1
Margaret Hoareau,41,1
Édith Moreno,41,0
Alexandrie Chevallier,8,0
Alain Blanchet de Clerc,58,1
Henriette Royer,9,0
Michel Guibert-Carpentier,89,1
Lucas du Didier,86,1
Denise Barre,11,0
Suzanne Marin,84,1
Océane Besnard,12,0
Susanne Ferreira,84,1
Bernadette-Manon Maréchal,6,0
Roland-Thibault Peltier,75,1
Marc Dijoux,2,0
Hugues Labbé,41,1
Pierre Bertin du Rocher,36,1
Laurence-Susan Blanchet,85,1
Émilie-Margaret Chevalier,4,0
Raymond-Nicolas Da Silva,59,1
Bernard Techer-Vallée,74,1
Margot-Suzanne Ruiz,47,1
Arnaude Costa,23,1
Marcelle Bernier,51,1
Adrien de Gaudin,27,1
Amélie Germain,11,0
Michel Renard-Barthelemy,92,1
Jeannine De Oliveira,64,1
Bertrand Leclercq,66,1
Théodore Henry-Cousin,7,0
Bertrand Morin,12,0
Laurent Marin,26,1
Marie-Frédérique Pereira,84,0
Zoé Poirier,79,1
Marcel Gimenez,57,1
Luce du Guillot,15,0
Charlotte Dupont,50,1
Robert Rousseau-Guibert,28,1
Adrienne Étienne,37,1
Xavier Dias,11,0
Jean Leblanc,73,1
Matthieu Martin,28,1
Antoine de la Chevalier,5,0
Claude du Rocher,90,1
Émile Moreno,48,1
Aurélie Hoareau,2,0
Bernard Masson de Giraud,24,1
Édouard Teixeira de Marchand,42,1
Brigitte Didier-Lamy,79,0
Margaret de la Grégoire,45,1
Charles Marin,32,1
Guillaume Voisin,19,0
Christelle Bonneau,1,0
Léon Garnier-Coulon,74,1
Margot Bertin,21,1
François-Alexandre Louis,91,1
Victor de Giraud,10,0
Corinne Dumont,24,1
Franck Le Salmon,89,1
Martine Petitjean,73,1
Susanne Petitjean,55,1
Paul Maillot,8,0
Nath Loiseau,27,1
Constance-Joséphine Delahaye,16,0
Clémence De Sousa,50,0
Stéphane Gilles,31,1
Susanne Jacquot,69,1
Bertrand Lopez,31,1
Maryse Sauvage,87,1
Guy Laine,34,0
Aurélie Peltier,13,0
Charles Lefebvre,65,1
Tristan Couturier,16,0
Éléonore Lacombe,44,0
Michel-Gabriel Ramos,86,1
René Carre,8,0
Adrienne Ruiz,21,1
Patrick de la Vincent,39,1
Brigitte Henry,27,1
Anouk Leclerc,27,1
Alain Buisson,15,0
Théodore Brunet,12,0
Françoise Adam,31,1
René Lacombe,11,0
Pauline Besnard,56,1
Henri Germain,53,1
Éric Poulain,34,1
Thibault Camus,64,1
Pierre Bernier,39,1
Éléonore du Tessier,70,1
Franck Verdier-Lesage,56,1
Manon-Nathalie Rodriguez,71,1
Laetitia Guyot,55,1
Paulette Chartier,53,1
Marthe Boulanger-Marchal,61,1
Margaret Pineau-Chrétien,80,1
Jeanne Rocher,85,1
Julie Perret,2,0
Jean-Bernard Deschamps,43,1
Thibaut Jacob,85,1
Dominique Merle-Bernard,30,1
Arnaude Jacques-Barbier,18,0
Sébastien Joly,60,1
Thibault Gosselin,34,1
Dorothée Blanc,11,0
Margaud Le Da Silva,70,0
Antoinette-Sylvie Leroy,83,0
Manon Lemaître-Dupont,8,0
Hugues Gomes-Didier,8,0
Amélie Pelletier-Coulon,12,0
Émilie-Madeleine Morin,28,1
Henriette Dufour,62,1
Hugues Delmas,11,0
Hélène Riou,65,1
Alfred Grégoire,69,1
Bernadette Delannoy,13,0
Agnès Coulon,65,1
Aimée Collin-Chevallier,0,0
Inès Mace-Thomas,71,1
Étienne-Denis Dijoux,52,1
Jeanne-Margaud Blanchet,72,1
Jacqueline Laroche,41,1
Madeleine Becker,32,1
Caroline Le Rousseau,11,0
Marguerite Marques,83,1
Éric Moulin du Berger,8,0
Joseph Guyot Le Ruiz,9,0
Margaux-Sophie Gérard,16,0
Céline Petitjean Le Lombard,7,0
Anne Roger,62,1
Théodore-Bernard Petit,15,0
Thibault Chauvin,2,0
Daniel-Charles Maillard,66,1
Susanne Renaud,59,1
Joseph Legrand,44,1
Susan Lefebvre,60,1
Joseph Bazin,76,1
Thierry Bourdon,59,1
Sébastien Boyer-Cordier,86,0
Agathe Masse,28,1
Eugène Laroche,76,1
Valentine Lemonnier,58,0
Élisabeth Bègue de la Gomes,4,0
Nathalie Colin de Moreau,32,1
Christine Millet,17,0
Léon Pires,31,1
Alix De Oliveira de la Perrin,28,0
Marcel Hoareau du De Sousa,17,0
Marie Da Costa,85,1
Alexandrie Renard,54,1
Emmanuel-Arthur Dupré,68,1
Benoît Baron,42,1
Marine Sauvage,72,0
Théodore Courtois,68,1
Jacques Gilles,11,0
Céline de Girard,58,1
Julie Lenoir,55,0
Franck Lévêque,80,1
Bertrand Le Becker,63,1
Stéphane Leduc de Denis,85,1
Marianne Masse,54,1
Édouard Grondin de la Rocher,17,0
Martine Gay du Renaud,75,1
Thomas Chauveau,15,0
Émilie Grondin,67,0
Adélaïde Da Silva du Schneider,60,1
Alfred Barthelemy,9,0
Sébastien Lucas,74,1
Julie Legrand,48,1
Honoré Le Gonzalez,83,0
Édouard-Philippe Sauvage,14,0
Adrienne Delannoy,29,1
Matthieu Moreno,15,0
Richard Bègue,9,0
Arthur Gauthier,82,1
Julien Pascal,41,1
Jacques Duhamel-Weiss,44,1
Gilles Lacroix,68,1
Raymond Perrier-Lecomte,87,0
Julien Renaud,41,1
Tristan Clément,25,1
Caroline Duhamel,44,1
Alex Petitjean,54,0
Émile Morel,54,1
Agathe Breton-Millet,49,1
Nicolas Rolland,11,0
Stéphane du Gomez,38,1
Édith-Henriette Lemaire,63,1
Matthieu Pons,3,0
Marcel Lévêque,28,1
Tristan Charrier,75,1
Arnaude-Renée Léger,42,1
Auguste Seguin,63,1
Maryse Guillon du Baron,59,1
Aimé Normand,62,1
Patrick-Alain Torres,11,0
Geneviève-Cécile Riou,80,1
Marcelle Lesage,83,0
Paul-Théodore Leblanc,90,0
Thibault Le Petit,74,1
Bertrand-Honoré Marty,63,1
Camille Durand,68,0
Franck Jourdan Le Guyot,7,0
Zoé Delannoy,19,0
Marianne Chauvin de Leconte,15,0
Franck Coste,32,1
Hélène Dumont,13,0
Alix Adam,14,0
Thibault Maillet,70,1
Agnès Simon,3,0
Lorraine Pascal,84,1
Thierry Tessier-Pascal,35,0
Patrick Clément,9,0
Michelle Vidal,81,1
Louis Delmas,53,1
Noël Collin de Gaillard,77,1
Marcel du Mace,74,1
Isaac-Maurice Delattre,16,0
Raymond du Alves,87,0
Benjamin Jacob Le Lemaître,87,1
Manon Rossi,52,1
Valérie Joseph,15,0
Pauline Michel-Guyot,17,0
Luc Bruneau,15,0
Amélie de Guibert,79,1
Maggie Verdier-Fontaine,29,1
Amélie Navarro,79,1
Antoine Valentin,48,1
Jacqueline Diaz,8,0
Alice Vidal,54,1
Marcelle-Céline Bonnin,1,0
Thibault Thibault,80,1
Margaux Charpentier,21,1
Jeanne Durand,31,1
Isaac Meyer,7,0
Juliette Regnier,55,1
Michèle Paris,17,0
Joseph Rey,75,1
Christine-Philippine Seguin,16,0
Sabine-Claude Perrot,16,0
Suzanne Dupuis de Caron,40,1
Marthe Peron,56,1
Juliette de Grenier,13,0
Catherine Blanchet,48,1
Élisabeth Morel,73,1
Matthieu du Schneider,48,0
Michel Maillard,90,0
Charlotte Lecomte,49,1
Nicolas Pinto,8,0
Véronique de la Bourdon,64,0
Élodie Ferreira,90,0
Jérôme Gomes,61,0
Auguste Ruiz-Maréchal,19,0
Margaret Moulin,83,1
Clémence Marie,62,0
Anouk Delaunay-Germain,69,1
Marc Fleury,76,1
Adèle Lemaire-Masson,68,1
Claire Pires,38,1
Christophe Meyer,44,1
Alexandrie Gaillard de Da Costa,42,1
Joséphine Charles,23,1
Aimée Brunet,3,0
Chantal-Audrey Guyon,24,1
Christiane Guilbert,54,0
Laetitia Chrétien,81,1
Thibaut Godard,21,1
Élodie Ruiz,73,1
Noémi Evrard,28,1
Eugène de la Schmitt,78,1
