relative_to,sender,receiver,operator,type,date,amount
Victor Fournier-Rodriguez,Victor Fournier-Rodriguez,Édith Brunet-Le Roux,moov,TRANSFER,2022-02-19,143200
Édith Brunet-Le Roux,,,moov,CASH_OUT,2022-02-20,166100
Édith Brunet-Le Roux,Isaac Le Gall,Édith Brunet-Le Roux,moov,RECEIPT,2022-02-20,247100
Isaac Le Gall,Isaac Le Gall,Édith Brunet-Le Roux,moov,TRANSFER,2022-02-20,247100
Édith Brunet-Le Roux,Philippine de Brunet,Édith Brunet-Le Roux,moov,RECEIPT,2022-02-22,462400
Philippine de Brunet,Philippine de Brunet,Édith Brunet-Le Roux,moov,TRANSFER,2022-02-22,462400
Frédéric Marie de Lambert,,,moov,CASH_OUT,2022-02-01,70100
Frédéric Marie de Lambert,,,moov,CASH_IN,2022-02-01,122200
Frédéric Marie de Lambert,Frédéric Marie de Lambert,Philippine de Brunet,moov,TRANSFER,2022-02-02,472900
Philippine de Brunet,Frédéric Marie de Lambert,Philippine de Brunet,moov,RECEIPT,2022-02-02,472900
Frédéric Marie de Lambert,Frédéric Marie de Lambert,Philippine de Brunet,moov,TRANSFER,2022-02-04,242500
Philippine de Brunet,Frédéric Marie de Lambert,Philippine de Brunet,moov,RECEIPT,2022-02-04,242500
Frédéric Marie de Lambert,,,moov,CASH_OUT,2022-02-11,398800
Frédéric Marie de Lambert,,,moov,CASH_OUT,2022-02-14,411500
Frédéric Marie de Lambert,Isaac Le Gall,Frédéric Marie de Lambert,moov,RECEIPT,2022-02-17,103800
Isaac Le Gall,Isaac Le Gall,Frédéric Marie de Lambert,moov,TRANSFER,2022-02-17,103800
Frédéric Marie de Lambert,Frédéric Marie de Lambert,Colette Baron,moov,TRANSFER,2022-02-17,88200
Colette Baron,Frédéric Marie de Lambert,Colette Baron,moov,RECEIPT,2022-02-17,88200
Frédéric Marie de Lambert,Victor Fournier-Rodriguez,Frédéric Marie de Lambert,moov,RECEIPT,2022-02-20,48700
Victor Fournier-Rodriguez,Victor Fournier-Rodriguez,Frédéric Marie de Lambert,moov,TRANSFER,2022-02-20,48700
Frédéric Marie de Lambert,Philippine de Brunet,Frédéric Marie de Lambert,moov,RECEIPT,2022-02-20,390900
Philippine de Brunet,Philippine de Brunet,Frédéric Marie de Lambert,moov,TRANSFER,2022-02-20,390900
Frédéric Marie de Lambert,Frédéric Marie de Lambert,Alexandria Bazin-Lacombe,moov,TRANSFER,2022-02-26,441600
Alexandria Bazin-Lacombe,Frédéric Marie de Lambert,Alexandria Bazin-Lacombe,moov,RECEIPT,2022-02-26,441600
Georges Reynaud,Victor Fournier-Rodriguez,Georges Reynaud,moov,RECEIPT,2022-02-04,148000
Victor Fournier-Rodriguez,Victor Fournier-Rodriguez,Georges Reynaud,moov,TRANSFER,2022-02-04,148000
Georges Reynaud,,,moov,CASH_IN,2022-02-05,300500
Georges Reynaud,,,moov,CASH_IN,2022-02-06,388300
Georges Reynaud,,,moov,CASH_OUT,2022-02-07,240800
Georges Reynaud,Georges Reynaud,Colette Baron,moov,TRANSFER,2022-02-10,492800
Colette Baron,Georges Reynaud,Colette Baron,moov,RECEIPT,2022-02-10,492800
Georges Reynaud,,,moov,CASH_IN,2022-02-10,384400
Georges Reynaud,Georges Reynaud,Agathe Masse,moov,TRANSFER,2022-02-11,108000
Agathe Masse,Georges Reynaud,Agathe Masse,moov,RECEIPT,2022-02-11,108000
Georges Reynaud,Georges Reynaud,Philippine de Brunet,moov,TRANSFER,2022-02-12,420900
Philippine de Brunet,Georges Reynaud,Philippine de Brunet,moov,RECEIPT,2022-02-12,420900
Georges Reynaud,,,moov,CASH_OUT,2022-02-13,400600
Georges Reynaud,Philippine de Brunet,Georges Reynaud,moov,RECEIPT,2022-02-17,168600
Philippine de Brunet,Philippine de Brunet,Georges Reynaud,moov,TRANSFER,2022-02-17,168600
Georges Reynaud,,,moov,CASH_OUT,2022-02-17,427700
Georges Reynaud,Agathe Masse,Georges Reynaud,moov,RECEIPT,2022-02-18,100000
Agathe Masse,Agathe Masse,Georges Reynaud,moov,TRANSFER,2022-02-18,100000
Georges Reynaud,Chantal Dupuis,Georges Reynaud,moov,RECEIPT,2022-02-24,194300
Chantal Dupuis,Chantal Dupuis,Georges Reynaud,moov,TRANSFER,2022-02-24,194300
Georges Reynaud,Philippine de Brunet,Georges Reynaud,moov,RECEIPT,2022-02-26,67900
Philippine de Brunet,Philippine de Brunet,Georges Reynaud,moov,TRANSFER,2022-02-26,67900
Georges Reynaud,,,moov,CASH_IN,2022-02-27,421200
Georges Reynaud,,,moov,CASH_IN,2022-02-27,465400
Georges Reynaud,François Lebon,Georges Reynaud,moov,RECEIPT,2022-02-27,255700
François Lebon,François Lebon,Georges Reynaud,moov,TRANSFER,2022-02-27,255700
Grégoire Philippe,Colette Baron,Grégoire Philippe,moov,RECEIPT,2022-02-01,283100
Colette Baron,Colette Baron,Grégoire Philippe,moov,TRANSFER,2022-02-01,283100
Grégoire Philippe,,,moov,CASH_OUT,2022-02-06,138000
Grégoire Philippe,Grégoire Philippe,Susan Marty,moov,TRANSFER,2022-02-07,223300
Susan Marty,Grégoire Philippe,Susan Marty,moov,RECEIPT,2022-02-07,223300
Grégoire Philippe,Grégoire Philippe,Philippine de Brunet,moov,TRANSFER,2022-02-07,334400
Philippine de Brunet,Grégoire Philippe,Philippine de Brunet,moov,RECEIPT,2022-02-07,334400
Grégoire Philippe,Grégoire Philippe,Alexandria Bazin-Lacombe,moov,TRANSFER,2022-02-07,406500
Alexandria Bazin-Lacombe,Grégoire Philippe,Alexandria Bazin-Lacombe,moov,RECEIPT,2022-02-07,406500
Grégoire Philippe,,,moov,CASH_IN,2022-02-09,351300
Grégoire Philippe,Alexandria Bazin-Lacombe,Grégoire Philippe,moov,RECEIPT,2022-02-09,77100
Alexandria Bazin-Lacombe,Alexandria Bazin-Lacombe,Grégoire Philippe,moov,TRANSFER,2022-02-09,77100
Grégoire Philippe,,,moov,CASH_OUT,2022-02-16,18600
Grégoire Philippe,,,moov,CASH_IN,2022-02-20,189500
Grégoire Philippe,,,moov,CASH_IN,2022-02-22,326700
Grégoire Philippe,,,moov,CASH_OUT,2022-02-24,369600
Grégoire Philippe,Agathe Masse,Grégoire Philippe,moov,RECEIPT,2022-02-25,275700
Agathe Masse,Agathe Masse,Grégoire Philippe,moov,TRANSFER,2022-02-25,275700
Colette Baron,Colette Baron,Victor Fournier-Rodriguez,moov,TRANSFER,2022-02-06,462100
Victor Fournier-Rodriguez,Colette Baron,Victor Fournier-Rodriguez,moov,RECEIPT,2022-02-06,462100
Colette Baron,Colette Baron,Susan Marty,moov,TRANSFER,2022-02-09,291300
Susan Marty,Colette Baron,Susan Marty,moov,RECEIPT,2022-02-09,291300
Colette Baron,,,moov,CASH_IN,2022-02-09,330500
Colette Baron,Alexandria Bazin-Lacombe,Colette Baron,moov,RECEIPT,2022-02-09,87200
Alexandria Bazin-Lacombe,Alexandria Bazin-Lacombe,Colette Baron,moov,TRANSFER,2022-02-09,87200
Colette Baron,Susan Marty,Colette Baron,moov,RECEIPT,2022-02-10,53700
Susan Marty,Susan Marty,Colette Baron,moov,TRANSFER,2022-02-10,53700
Colette Baron,,,moov,CASH_IN,2022-02-12,237000
Colette Baron,,,moov,CASH_IN,2022-02-12,33700
Colette Baron,,,moov,CASH_OUT,2022-02-12,91800
Colette Baron,,,moov,CASH_OUT,2022-02-13,340000
Colette Baron,Colette Baron,Susan Marty,moov,TRANSFER,2022-02-14,94500
Susan Marty,Colette Baron,Susan Marty,moov,RECEIPT,2022-02-14,94500
Colette Baron,Alexandria Bazin-Lacombe,Colette Baron,moov,RECEIPT,2022-02-15,60000
Alexandria Bazin-Lacombe,Alexandria Bazin-Lacombe,Colette Baron,moov,TRANSFER,2022-02-15,60000
Colette Baron,,,moov,CASH_IN,2022-02-17,81100
Colette Baron,Colette Baron,François Lebon,moov,TRANSFER,2022-02-23,261100
François Lebon,Colette Baron,François Lebon,moov,RECEIPT,2022-02-23,261100
Colette Baron,Philippine de Brunet,Colette Baron,moov,RECEIPT,2022-02-24,130600
Philippine de Brunet,Philippine de Brunet,Colette Baron,moov,TRANSFER,2022-02-24,130600
Colette Baron,,,moov,CASH_IN,2022-02-27,282600
Colette Baron,Alexandria Bazin-Lacombe,Colette Baron,moov,RECEIPT,2022-02-27,142600
Alexandria Bazin-Lacombe,Alexandria Bazin-Lacombe,Colette Baron,moov,TRANSFER,2022-02-27,142600
Colette Baron,,,moov,CASH_IN,2022-02-27,240600
Marianne Dias,Alexandria Bazin-Lacombe,Marianne Dias,moov,RECEIPT,2022-02-05,259200
Alexandria Bazin-Lacombe,Alexandria Bazin-Lacombe,Marianne Dias,moov,TRANSFER,2022-02-05,259200
Marianne Dias,Christelle Jourdan,Marianne Dias,moov,RECEIPT,2022-02-06,119400
Christelle Jourdan,Christelle Jourdan,Marianne Dias,moov,TRANSFER,2022-02-06,119400
Marianne Dias,François Lebon,Marianne Dias,moov,RECEIPT,2022-02-10,92100
François Lebon,François Lebon,Marianne Dias,moov,TRANSFER,2022-02-10,92100
Marianne Dias,,,moov,CASH_IN,2022-02-11,455300
Marianne Dias,Marianne Dias,Christelle Jourdan,moov,TRANSFER,2022-02-16,385900
Christelle Jourdan,Marianne Dias,Christelle Jourdan,moov,RECEIPT,2022-02-16,385900
Marianne Dias,,,moov,CASH_IN,2022-02-16,24900
Marianne Dias,,,moov,CASH_OUT,2022-02-20,276300
Marianne Dias,Marianne Dias,Christelle Jourdan,moov,TRANSFER,2022-02-21,131800
Christelle Jourdan,Marianne Dias,Christelle Jourdan,moov,RECEIPT,2022-02-21,131800
Marianne Dias,,,moov,CASH_OUT,2022-02-24,32000
Marianne Dias,François Lebon,Marianne Dias,moov,RECEIPT,2022-02-24,404300
François Lebon,François Lebon,Marianne Dias,moov,TRANSFER,2022-02-24,404300
Marianne Dias,Marianne Dias,Christelle Jourdan,moov,TRANSFER,2022-02-26,357000
Christelle Jourdan,Marianne Dias,Christelle Jourdan,moov,RECEIPT,2022-02-26,357000
François Lebon,Victor Fournier-Rodriguez,François Lebon,moov,RECEIPT,2022-02-01,465200
Victor Fournier-Rodriguez,Victor Fournier-Rodriguez,François Lebon,moov,TRANSFER,2022-02-01,465200
François Lebon,Susan Marty,François Lebon,moov,RECEIPT,2022-02-02,320600
Susan Marty,Susan Marty,François Lebon,moov,TRANSFER,2022-02-02,320600
François Lebon,,,moov,CASH_OUT,2022-02-02,264500
François Lebon,François Lebon,Susan Marty,moov,TRANSFER,2022-02-03,94200
Susan Marty,François Lebon,Susan Marty,moov,RECEIPT,2022-02-03,94200
François Lebon,,,moov,CASH_OUT,2022-02-06,352100
François Lebon,François Lebon,Susan Marty,moov,TRANSFER,2022-02-07,140600
Susan Marty,François Lebon,Susan Marty,moov,RECEIPT,2022-02-07,140600
François Lebon,Susan Marty,François Lebon,moov,RECEIPT,2022-02-13,279800
Susan Marty,Susan Marty,François Lebon,moov,TRANSFER,2022-02-13,279800
François Lebon,Susan Marty,François Lebon,moov,RECEIPT,2022-02-13,449400
Susan Marty,Susan Marty,François Lebon,moov,TRANSFER,2022-02-13,449400
Émile Payet Le Benard,Émile Payet Le Benard,Virginie Bonnin,moov,TRANSFER,2022-03-10,141500
Virginie Bonnin,Émile Payet Le Benard,Virginie Bonnin,moov,RECEIPT,2022-03-10,141500
Émile Payet Le Benard,,,moov,CASH_IN,2022-03-24,316900
Laetitia Chrétien,Virginie Bonnin,Laetitia Chrétien,moov,RECEIPT,2022-03-02,32600
Virginie Bonnin,Virginie Bonnin,Laetitia Chrétien,moov,TRANSFER,2022-03-02,32600
Laetitia Chrétien,,,moov,CASH_OUT,2022-03-25,121800
Stéphanie Pages de Delmas,,,moov,CASH_IN,2022-03-03,300500
Stéphanie Pages de Delmas,,,moov,CASH_OUT,2022-03-06,179600
Stéphanie Pages de Delmas,Émile Gilles,Stéphanie Pages de Delmas,moov,RECEIPT,2022-03-14,340100
Émile Gilles,Émile Gilles,Stéphanie Pages de Delmas,moov,TRANSFER,2022-03-14,340100
Stéphanie Pages de Delmas,Sylvie Baron,Stéphanie Pages de Delmas,moov,RECEIPT,2022-03-18,258200
Sylvie Baron,Sylvie Baron,Stéphanie Pages de Delmas,moov,TRANSFER,2022-03-18,258200
Rémy Bonneau,André Fleury-Bourgeois,Rémy Bonneau,moov,RECEIPT,2022-03-19,197300
André Fleury-Bourgeois,André Fleury-Bourgeois,Rémy Bonneau,moov,TRANSFER,2022-03-19,197300
Rémy Bonneau,Constance Bousquet,Rémy Bonneau,moov,RECEIPT,2022-03-22,31700
Constance Bousquet,Constance Bousquet,Rémy Bonneau,moov,TRANSFER,2022-03-22,31700
Yves Richard,Yves Richard,Émile Marion,moov,TRANSFER,2022-03-05,253300
Émile Marion,Yves Richard,Émile Marion,moov,RECEIPT,2022-03-05,253300
Yves Richard,,,moov,CASH_OUT,2022-03-06,84500
Yves Richard,,,moov,CASH_IN,2022-03-08,455200
Yves Richard,,,moov,CASH_IN,2022-03-18,3700
Honoré Vincent,Grégoire Philippe,Honoré Vincent,moov,RECEIPT,2022-03-09,445900
Grégoire Philippe,Grégoire Philippe,Honoré Vincent,moov,TRANSFER,2022-03-09,445900
Nicolas Cousin-Dufour,Marcel-Stéphane Leroy,Nicolas Cousin-Dufour,moov,RECEIPT,2022-03-12,209300
Marcel-Stéphane Leroy,Marcel-Stéphane Leroy,Nicolas Cousin-Dufour,moov,TRANSFER,2022-03-12,209300
François Lebon,Victor Fournier-Rodriguez,François Lebon,moov,RECEIPT,2022-03-06,329900
Victor Fournier-Rodriguez,Victor Fournier-Rodriguez,François Lebon,moov,TRANSFER,2022-03-06,329900
François Lebon,,,moov,CASH_IN,2022-03-13,124800
Christelle Jourdan,Christelle Jourdan,Agathe Gomez,moov,TRANSFER,2022-03-10,304300
Agathe Gomez,Christelle Jourdan,Agathe Gomez,moov,RECEIPT,2022-03-10,304300
Christelle Jourdan,,,moov,CASH_IN,2022-03-26,140800
Adrienne Le Leroux,,,moov,CASH_OUT,2022-03-08,44700
Adrienne Le Leroux,,,moov,CASH_OUT,2022-03-12,107100
Alexandria Garnier,Virginie Bonnin,Alexandria Garnier,moov,RECEIPT,2022-03-25,101400
Virginie Bonnin,Virginie Bonnin,Alexandria Garnier,moov,TRANSFER,2022-03-25,101400
Charlotte Dupont,Théodore-Gérard Raymond,Charlotte Dupont,moov,RECEIPT,2022-03-01,315900
Théodore-Gérard Raymond,Théodore-Gérard Raymond,Charlotte Dupont,moov,TRANSFER,2022-03-01,315900
Charlotte Dupont,,,moov,CASH_OUT,2022-03-04,134800
Charlotte Dupont,Xavier Lebrun,Charlotte Dupont,moov,RECEIPT,2022-03-27,102300
Xavier Lebrun,Xavier Lebrun,Charlotte Dupont,moov,TRANSFER,2022-03-27,102300
Thierry Goncalves,Thierry Goncalves,Virginie Bonnin,moov,TRANSFER,2022-03-05,78300
Virginie Bonnin,Thierry Goncalves,Virginie Bonnin,moov,RECEIPT,2022-03-05,78300
Thierry Goncalves,Thierry Goncalves,Vincent Gosselin de la Mallet,moov,TRANSFER,2022-03-14,474100
Vincent Gosselin de la Mallet,Thierry Goncalves,Vincent Gosselin de la Mallet,moov,RECEIPT,2022-03-14,474100
Thierry Goncalves,Céline Imbert-Lamy,Thierry Goncalves,moov,RECEIPT,2022-03-24,414900
Céline Imbert-Lamy,Céline Imbert-Lamy,Thierry Goncalves,moov,TRANSFER,2022-03-24,414900
Simone Leleu,Agathe Masse,Simone Leleu,moov,RECEIPT,2022-03-14,13400
Agathe Masse,Agathe Masse,Simone Leleu,moov,TRANSFER,2022-03-14,13400
Simone Leleu,Michelle Paris,Simone Leleu,moov,RECEIPT,2022-03-21,289700
Michelle Paris,Michelle Paris,Simone Leleu,moov,TRANSFER,2022-03-21,289700
Simone Leleu,,,moov,CASH_IN,2022-03-21,425500
Simone Leleu,Simone Leleu,Virginie Diallo,moov,TRANSFER,2022-03-22,326600
Virginie Diallo,Simone Leleu,Virginie Diallo,moov,RECEIPT,2022-03-22,326600
Christelle Riou,,,moov,CASH_OUT,2022-03-15,131900
Christelle Riou,,,moov,CASH_OUT,2022-03-18,53600
Christelle Riou,Georges Étienne,Christelle Riou,moov,RECEIPT,2022-03-19,63500
Georges Étienne,Georges Étienne,Christelle Riou,moov,TRANSFER,2022-03-19,63500
Christelle Riou,Christelle Riou,Isaac Hamon,moov,TRANSFER,2022-03-21,363600
Isaac Hamon,Christelle Riou,Isaac Hamon,moov,RECEIPT,2022-03-21,363600
Michel Mercier-Camus,,,moov,CASH_IN,2022-03-12,324800
Michel Mercier-Camus,Raymond Brunel,Michel Mercier-Camus,moov,RECEIPT,2022-03-21,322700
Raymond Brunel,Raymond Brunel,Michel Mercier-Camus,moov,TRANSFER,2022-03-21,322700
Michel Mercier-Camus,,,moov,CASH_IN,2022-03-22,321500
Michel Mercier-Camus,Capucine Bazin,Michel Mercier-Camus,moov,RECEIPT,2022-03-23,496500
Capucine Bazin,Capucine Bazin,Michel Mercier-Camus,moov,TRANSFER,2022-03-23,496500
Michel Mercier-Camus,Michel Mercier-Camus,Chantal Dupuis,moov,TRANSFER,2022-03-26,188700
Chantal Dupuis,Michel Mercier-Camus,Chantal Dupuis,moov,RECEIPT,2022-03-26,188700
Chantal Dupuis,Alexandre Bonnet,Chantal Dupuis,moov,RECEIPT,2022-03-06,107100
Alexandre Bonnet,Alexandre Bonnet,Chantal Dupuis,moov,TRANSFER,2022-03-06,107100
Chantal Dupuis,Théodore-Gérard Raymond,Chantal Dupuis,moov,RECEIPT,2022-03-13,57600
Théodore-Gérard Raymond,Théodore-Gérard Raymond,Chantal Dupuis,moov,TRANSFER,2022-03-13,57600
Chantal Dupuis,,,moov,CASH_IN,2022-03-23,359600
Chantal Dupuis,Chantal Dupuis,Théodore Mathieu de la Duval,moov,TRANSFER,2022-03-26,250200
Théodore Mathieu de la Duval,Chantal Dupuis,Théodore Mathieu de la Duval,moov,RECEIPT,2022-03-26,250200
Michelle Paris,,,moov,CASH_IN,2022-03-07,116900
Madeleine Colas,,,moov,CASH_IN,2022-03-03,233500
Madeleine Colas,Madeleine Colas,Christine Albert,moov,TRANSFER,2022-03-20,141300
Christine Albert,Madeleine Colas,Christine Albert,moov,RECEIPT,2022-03-20,141300
Madeleine Colas,,,moov,CASH_IN,2022-03-23,62000
Madeleine Colas,Capucine Didier,Madeleine Colas,moov,RECEIPT,2022-03-25,493000
Capucine Didier,Capucine Didier,Madeleine Colas,moov,TRANSFER,2022-03-25,493000
Nicolas Chartier,Nicolas Chartier,Georges-Bernard Gros,moov,TRANSFER,2022-03-05,132000
Georges-Bernard Gros,Nicolas Chartier,Georges-Bernard Gros,moov,RECEIPT,2022-03-05,132000
Nicolas Chartier,Alfred Vallée,Nicolas Chartier,moov,RECEIPT,2022-03-14,283800
Alfred Vallée,Alfred Vallée,Nicolas Chartier,moov,TRANSFER,2022-03-14,283800
Nicolas Chartier,,,moov,CASH_IN,2022-03-22,45100
Nicolas Chartier,,,moov,CASH_OUT,2022-03-23,476500
Nicolas Chartier,Émile Marion,Nicolas Chartier,moov,RECEIPT,2022-03-27,470000
Émile Marion,Émile Marion,Nicolas Chartier,moov,TRANSFER,2022-03-27,470000
Thierry Gomes,,,moov,CASH_OUT,2022-03-14,153100
Thierry Gomes,,,moov,CASH_IN,2022-03-16,188600
Thierry Gomes,,,moov,CASH_OUT,2022-03-19,354100
Thierry Gomes,Tristan de la Maurice,Thierry Gomes,moov,RECEIPT,2022-03-25,416200
Tristan de la Maurice,Tristan de la Maurice,Thierry Gomes,moov,TRANSFER,2022-03-25,416200
Marcel-Stéphane Leroy,Marcel-Stéphane Leroy,Georges Reynaud,moov,TRANSFER,2022-03-02,416700
Georges Reynaud,Marcel-Stéphane Leroy,Georges Reynaud,moov,RECEIPT,2022-03-02,416700
Marcel-Stéphane Leroy,Raymond Brunel,Marcel-Stéphane Leroy,moov,RECEIPT,2022-03-05,449700
Raymond Brunel,Raymond Brunel,Marcel-Stéphane Leroy,moov,TRANSFER,2022-03-05,449700
Marcel-Stéphane Leroy,Céline Imbert-Lamy,Marcel-Stéphane Leroy,moov,RECEIPT,2022-03-11,109000
Céline Imbert-Lamy,Céline Imbert-Lamy,Marcel-Stéphane Leroy,moov,TRANSFER,2022-03-11,109000
Marcel-Stéphane Leroy,Virginie Diallo,Marcel-Stéphane Leroy,moov,RECEIPT,2022-03-12,129200
Virginie Diallo,Virginie Diallo,Marcel-Stéphane Leroy,moov,TRANSFER,2022-03-12,129200
Marcel-Stéphane Leroy,Laurence de la Coulon,Marcel-Stéphane Leroy,moov,RECEIPT,2022-03-21,66300
Laurence de la Coulon,Laurence de la Coulon,Marcel-Stéphane Leroy,moov,TRANSFER,2022-03-21,66300
Andrée Lamy de Mercier,,,moov,CASH_IN,2022-03-04,499700
Andrée Lamy de Mercier,Andrée Lamy de Mercier,Charles François,moov,TRANSFER,2022-03-13,296200
Charles François,Andrée Lamy de Mercier,Charles François,moov,RECEIPT,2022-03-13,296200
Andrée Lamy de Mercier,,,moov,CASH_OUT,2022-03-17,365900
Suzanne-Nathalie Bouvet,Suzanne-Nathalie Bouvet,Auguste Letellier de Aubry,moov,TRANSFER,2022-03-04,281600
Auguste Letellier de Aubry,Suzanne-Nathalie Bouvet,Auguste Letellier de Aubry,moov,RECEIPT,2022-03-04,281600
Suzanne-Nathalie Bouvet,,,moov,CASH_IN,2022-03-24,285900
Isaac Le Gall,,,moov,CASH_IN,2022-03-03,76900
Isaac Le Gall,Maryse Michaud,Isaac Le Gall,moov,RECEIPT,2022-03-10,86300
Maryse Michaud,Maryse Michaud,Isaac Le Gall,moov,TRANSFER,2022-03-10,86300
Isaac Le Gall,,,moov,CASH_IN,2022-03-21,498900
Isaac Le Gall,,,moov,CASH_IN,2022-03-22,423900
Isaac Le Gall,,,moov,CASH_OUT,2022-03-26,14200
Alexandre Bonnet,,,moov,CASH_IN,2022-03-06,188300
Alexandre Bonnet,Alexandre Bonnet,Jules Thibault,moov,TRANSFER,2022-03-07,66900
Jules Thibault,Alexandre Bonnet,Jules Thibault,moov,RECEIPT,2022-03-07,66900
Alexandre Bonnet,,,moov,CASH_IN,2022-03-21,440400
Alexandre Bonnet,,,moov,CASH_OUT,2022-03-23,117900
Alexandre Bonnet,Maryse Michaud,Alexandre Bonnet,moov,RECEIPT,2022-03-24,321700
Maryse Michaud,Maryse Michaud,Alexandre Bonnet,moov,TRANSFER,2022-03-24,321700
Philippine de Brunet,,,moov,CASH_OUT,2022-03-11,32500
Philippine de Brunet,Philippine de Brunet,Sébastien Perrier-Rolland,moov,TRANSFER,2022-03-12,147500
Sébastien Perrier-Rolland,Philippine de Brunet,Sébastien Perrier-Rolland,moov,RECEIPT,2022-03-12,147500
Brigitte Perrot-Dufour,Gilles-Guillaume Dupuis,Brigitte Perrot-Dufour,moov,RECEIPT,2022-03-17,351300
Gilles-Guillaume Dupuis,Gilles-Guillaume Dupuis,Brigitte Perrot-Dufour,moov,TRANSFER,2022-03-17,351300
Brigitte Perrot-Dufour,Brigitte Perrot-Dufour,Matthieu Letellier,moov,TRANSFER,2022-03-18,383600
Matthieu Letellier,Brigitte Perrot-Dufour,Matthieu Letellier,moov,RECEIPT,2022-03-18,383600
Brigitte Perrot-Dufour,,,moov,CASH_OUT,2022-03-22,358600
Brigitte Perrot-Dufour,Laurence de la Coulon,Brigitte Perrot-Dufour,moov,RECEIPT,2022-03-24,175700
Laurence de la Coulon,Laurence de la Coulon,Brigitte Perrot-Dufour,moov,TRANSFER,2022-03-24,175700
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-01,114100
Céline Imbert-Lamy,Thibault du Dupont,Céline Imbert-Lamy,moov,RECEIPT,2022-03-02,452600
Thibault du Dupont,Thibault du Dupont,Céline Imbert-Lamy,moov,TRANSFER,2022-03-02,452600
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-04,414600
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-04,191200
Céline Imbert-Lamy,Honoré Lopes,Céline Imbert-Lamy,moov,RECEIPT,2022-03-05,188200
Honoré Lopes,Honoré Lopes,Céline Imbert-Lamy,moov,TRANSFER,2022-03-05,188200
Céline Imbert-Lamy,Émile Gilles,Céline Imbert-Lamy,moov,RECEIPT,2022-03-07,197000
Émile Gilles,Émile Gilles,Céline Imbert-Lamy,moov,TRANSFER,2022-03-07,197000
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-07,450500
Céline Imbert-Lamy,Céline Imbert-Lamy,Honoré Lopes,moov,TRANSFER,2022-03-07,306100
Honoré Lopes,Céline Imbert-Lamy,Honoré Lopes,moov,RECEIPT,2022-03-07,306100
Céline Imbert-Lamy,Maryse Michaud,Céline Imbert-Lamy,moov,RECEIPT,2022-03-08,219100
Maryse Michaud,Maryse Michaud,Céline Imbert-Lamy,moov,TRANSFER,2022-03-08,219100
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-11,291800
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-12,29900
Céline Imbert-Lamy,Céline Imbert-Lamy,Charles Barthelemy du Valentin,moov,TRANSFER,2022-03-14,219600
Charles Barthelemy du Valentin,Céline Imbert-Lamy,Charles Barthelemy du Valentin,moov,RECEIPT,2022-03-14,219600
Céline Imbert-Lamy,Céline Imbert-Lamy,Océane Diallo,moov,TRANSFER,2022-03-14,403800
Océane Diallo,Céline Imbert-Lamy,Océane Diallo,moov,RECEIPT,2022-03-14,403800
Céline Imbert-Lamy,Océane Diallo,Céline Imbert-Lamy,moov,RECEIPT,2022-03-15,268800
Océane Diallo,Océane Diallo,Céline Imbert-Lamy,moov,TRANSFER,2022-03-15,268800
Céline Imbert-Lamy,Céline Imbert-Lamy,Agathe Gomez,moov,TRANSFER,2022-03-15,481000
Agathe Gomez,Céline Imbert-Lamy,Agathe Gomez,moov,RECEIPT,2022-03-15,481000
Céline Imbert-Lamy,Céline Imbert-Lamy,Nathalie Auger,moov,TRANSFER,2022-03-17,89100
Nathalie Auger,Céline Imbert-Lamy,Nathalie Auger,moov,RECEIPT,2022-03-17,89100
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-17,352600
Céline Imbert-Lamy,Sabine Baron-Leroy,Céline Imbert-Lamy,moov,RECEIPT,2022-03-17,44400
Sabine Baron-Leroy,Sabine Baron-Leroy,Céline Imbert-Lamy,moov,TRANSFER,2022-03-17,44400
Céline Imbert-Lamy,Étienne-Laurent Marty,Céline Imbert-Lamy,moov,RECEIPT,2022-03-19,351600
Étienne-Laurent Marty,Étienne-Laurent Marty,Céline Imbert-Lamy,moov,TRANSFER,2022-03-19,351600
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-20,272300
Céline Imbert-Lamy,Virginie Bonnin,Céline Imbert-Lamy,moov,RECEIPT,2022-03-21,371200
Virginie Bonnin,Virginie Bonnin,Céline Imbert-Lamy,moov,TRANSFER,2022-03-21,371200
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-22,49100
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-23,241000
Céline Imbert-Lamy,Marianne Dias,Céline Imbert-Lamy,moov,RECEIPT,2022-03-24,104700
Marianne Dias,Marianne Dias,Céline Imbert-Lamy,moov,TRANSFER,2022-03-24,104700
Céline Imbert-Lamy,,,moov,CASH_OUT,2022-03-25,444500
Céline Imbert-Lamy,,,moov,CASH_IN,2022-03-27,204500
Hélène Durand-Bègue,,,moov,CASH_IN,2022-03-02,382700
Hélène Durand-Bègue,,,moov,CASH_OUT,2022-03-02,281400
Hélène Durand-Bègue,Aurélie-Odette Deschamps,Hélène Durand-Bègue,moov,RECEIPT,2022-03-03,430800
