Name,Gender,Address,E-mail,Date-of-birth,Phone-number,Job
Alix Perret,Masculin,"DONGA,DJOUGOU,PARTAGO,VANHOUI carré 7005",alixperret@gmail.com,1942-06-21,+22995314122,auditeur qualité
Christelle Leconte,Féminin,"ATACORA,COBLY,DATORI,DATORI carré 6310",christelleleconte@gmail.com,1984-02-12,+22964263113,contrôleur des douanes et droits indirects
Eugène-Étienne Jacques,Féminin,"MONO,BOPA,AGBODJI,AGBOH carré 7427",eugène-étiennejacques@gmail.com,1936-06-27,+22956645024,directeur d'agence bancaire
Mathilde Colas-Teixeira,Féminin,"BORGOU,KALALE,DUNKASSA,GOROBANI carré 1238",mathildecolas-teixeira@gmail.com,1990-09-06,+22995811040,vendeur-magasinier en fournitures automobiles
Emmanuelle du Gomes,Féminin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,VOSSA carré 7028",emmanuelledugomes@gmail.com,1973-04-08,+22964313992,barman
Jules Laine,Masculin,"COUFFO,TOVIKLIN,MISSINKO,KODOHOUE carré 8658",none,2017-03-01,none,none
Constance Antoine,Féminin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,MINONTCHOU carré 4737",none,2019-04-22,none,none
Emmanuel de Foucher,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,TOKAN AÏDEGNON carré 3712",emmanueldefoucher@gmail.com,1945-03-02,+22995866505,agent de développement local
Thibaut de Guilbert,Masculin,"OUEME,ADJARRA,HONVIE,GASSAKO carré 8497",thibautdeguilbert@gmail.com,1945-12-21,+22969806763,ingénieur en génie climatique
Éric Leblanc,Masculin,"LITTORAL,COTONOU,9EME ARRONDISSEMENT,KINDONOU carré 8930",éricleblanc@gmail.com,1993-10-20,+22964310878,ingénieur technico-commercial technico-commerciale en électronique
Philippe Joubert,Féminin,"COLLINES,GLAZOUE,MAGOUMI,OGUIRIN carré 8646",none,2017-11-06,none,none
Martin Lebreton,Masculin,"ALIBORI,BANIKOARA,GOMPAROU,GOMPAROU GOKPADOU carré 3851",martinlebreton@gmail.com,1963-09-08,+22996400564,"ingénieur fluides, énergies, réseaux, environnement"
Brigitte de la Barre,Féminin,"ATACORA,MATERI,TANTEGA,POURNIARI carré 5108",brigittedelabarre@gmail.com,1976-01-28,+22954317301,auxiliaire spécialisé vétérinaire
Caroline-Margot Hamel,Masculin,"ALIBORI,BANIKOARA,OUNET,BONIKI carré 0463",caroline-margothamel@gmail.com,1936-04-04,+22995552943,ingénieur recherche et développement en agroalimentaire
Sabine Caron,Féminin,"PLATEAU,POBE,POBE,ADJEGOUNLE carré 0591",sabinecaron@gmail.com,2000-05-13,+22995873859,ingénieur forage
Alice Laporte,Féminin,"DONGA,BASSILA,BASSILA,BIGUINA AKPASSA carré 8495",alicelaporte@gmail.com,1946-08-19,+22964557623,agent de développement touristique
Aimée Guibert-Ruiz,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,HOUEKE-GBO carré 9453",none,2014-02-23,none,none
Jules Ruiz,Masculin,"ZOU,ZOGBODOMEY,KOUSSOUKPA,TCHIHEIGON carré 0350",julesruiz@gmail.com,1940-05-15,+22967423405,viticulteur
Bertrand Thibault du Lefort,Masculin,"ALIBORI,GOGOUNOU,BAGOU,DIADIA carré 7828",bertrandthibaultdulefort@gmail.com,1977-10-07,+22995448569,chef de projet biodiversité
Aurore Blanchard,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,AMANHOUN carré 8515",auroreblanchard@gmail.com,1960-10-21,+22964706894,ingénieur hydrogéomorphologue
Sabine Labbé,Féminin,"ATLANTIQUE,OUIDAH,OUIDAH III,HEHOUNLI carré 4746",none,2012-04-14,none,none
Nathalie Nicolas Le Michaud,Féminin,"ALIBORI,KANDI,KANDI 2,MADINA carré 6827",none,2020-03-11,none,none
Laure Guillou,Féminin,"ALIBORI,GOGOUNOU,WARA,SOUKAROU carré 7215",none,2008-06-17,none,none
Édith Aubry,Masculin,"MONO,HOUEYOGBE,SE,DRE-LONMNAVA carré 0579",none,2005-08-06,none,none
Jeannine Perrier,Féminin,"ATLANTIQUE,TOFFO,COUSSI,ZIMBENOU carré 2478",none,2020-06-02,none,none
Franck Georges,Masculin,"ATACORA,BOUKOUMBE,NATA,KOUKOUA carré 9985",franckgeorges@gmail.com,1951-08-01,+22964237084,cogniticien
Guillaume Renault Le Rolland,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,TOKPA-ZOUNGO KPEVI carré 8667",guillaumerenaultlerolland@gmail.com,1956-10-14,+22995215703,vendeur en magasin
David Mallet,Masculin,"DONGA,COPARGO,COPARGO,COPARGO carré 7386",davidmallet@gmail.com,1980-05-07,+22961164496,soigneur d'animaux
Caroline Martin,Féminin,"ATLANTIQUE,TOFFO,DJANGLANME,TOGOUDO carré 7797",carolinemartin@gmail.com,2003-02-16,+22962897863,chef de produit marketing
Océane Lelièvre,Féminin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-AKPLOMEY carré 8588",océanelelièvre@gmail.com,1991-08-09,+22995239264,marchandiseur
Élise Masse,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,TOUROU-DISPENSAIRE carré 1329",none,2020-12-19,none,none
Agathe Marin,Féminin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,TOKPOTA ZEBE carré 3753",none,2014-07-03,none,none
Michèle Brunel,Féminin,"ALIBORI,SEGBANA,SEGBANA,BATAZI carré 5051",michèlebrunel@gmail.com,2001-05-01,+22964588982,conducteur routier routière
Dorothée Charrier,Féminin,"OUEME,SEME-PODJI,SEME-PODJI,SEME-PODJI carré 5997",none,2022-07-01,none,none
Marcelle Navarro,Féminin,"DONGA,OUAKE,SEMERE 2,GAO carré 5095",marcellenavarro@gmail.com,1930-10-26,+22964984537,animateur de radio et de télévision
Théodore Dupont,Féminin,"ZOU,BOHICON,BOHICON I,AGBADJAGON carré 3104",théodoredupont@gmail.com,1942-01-29,+22995355399,officier marinier marinière
Chantal Perrot de Leroy,Masculin,"BORGOU,PERERE,GNINSY,GNINSY carré 9313",chantalperrotdeleroy@gmail.com,1942-10-11,+22964587943,ingénieur d'application
Hortense Coulon,Féminin,"COLLINES,SAVE,OFFE,EETOU carré 0610",hortensecoulon@gmail.com,1967-09-01,+22996492399,metteur en scène
Jacques Masson,Masculin,"ATACORA,MATERI,TCHANHOUNCOSSI,YANGA carré 9638",none,2010-02-09,none,none
Adrien-Richard Bruneau,Masculin,"ZOU,AGBANGNIZOUN,AGBANGNIZOUN,AGBANGNIZOUN carré 8025",adrien-richardbruneau@gmail.com,1941-07-27,+22950984430,conducteur de travaux
Aimée Delorme,Féminin,"ALIBORI,BANIKOARA,BANIKOARA,ARBONGA carré 5491",aiméedelorme@gmail.com,1994-07-07,+22953956985,correcteur
Yves Gosselin,Masculin,"COUFFO,APLAHOUE,APLAHOUE,AVEGODO carré 1300",yvesgosselin@gmail.com,1975-05-04,+22964772045,employé d'élevage
Stéphane Martins,Féminin,"MONO,ATHIEME,ATHIEME,AWAME-KPOTA carré 6994",none,2010-07-03,none,none
Éric Delaunay,Masculin,"PLATEAU,KETOU,KPANKOU,WOROKO carré 2205",none,2012-06-22,none,none
Théophile Berger,Féminin,"PLATEAU,KETOU,ADAKPLAME,EWE carré 6922",théophileberger@gmail.com,1989-06-22,+22964090049,assistant de service social
Daniel Julien,Masculin,"OUEME,DANGBO,ZOUNGUE,ZOUNTA carré 3224",danieljulien@gmail.com,1931-02-15,+22953689092,scénariste
Patrick Lenoir,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,KERA carré 1915",patricklenoir@gmail.com,1939-11-06,+22962913673,journaliste
Étienne du Le Gall,Féminin,"DONGA,DJOUGOU,DJOUGOU II,KPATOUHOU carré 7322",étiennedulegall@gmail.com,1960-07-27,+22964918241,ingénieur en chef territorial
Margot-Danielle Coulon,Féminin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,FIFATIN carré 5246",margot-daniellecoulon@gmail.com,1930-02-08,+22966131229,contremaître
Bernard Guillot du Ribeiro,Masculin,"COUFFO,APLAHOUE,AZOVE,DJIMADOHOUE carré 1711",bernardguillotduribeiro@gmail.com,1965-05-29,+22969006150,technicien en optique de précision
Éric Merle,Masculin,"DONGA,OUAKE,SEMERE 1,MAMI carré 4449",éricmerle@gmail.com,1982-06-17,+22964808589,agent de sûreté ferroviaire
Augustin Ribeiro,Masculin,"COLLINES,SAVALOU,OUESSE,AGONMEY carré 7819",augustinribeiro@gmail.com,1938-10-24,+22956252808,ingénieur forestier forestière
Lucie Thibault Le Paul,Féminin,"COLLINES,GLAZOUE,ASSANTE,ASSANTE carré 7522",none,2016-04-07,none,none
Arnaude Chrétien-Descamps,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,SEME carré 2154",none,2012-01-20,none,none
Marine Perrier du Mathieu,Féminin,"OUEME,DANGBO,GBEKO,GBEKO CENTRE carré 9845",marineperrierdumathieu@gmail.com,1982-11-01,+22995556498,serrurier-métallier
Anouk Becker,Masculin,"ATACORA,TANGUIETA,TANGUIETA,MAMOUSSA carré 4880",anoukbecker@gmail.com,2000-11-05,+22995165139,ingénieur en aéronautique
Corinne-Diane Michaud,Féminin,"ZOU,DJIDJA,DAN,DAN carré 6086",corinne-dianemichaud@gmail.com,1939-12-11,+22964339617,animateur de radio et de télévision
Roger Antoine,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,FIDJROSSE CENTRE carré 4965",rogerantoine@gmail.com,1937-08-15,+22964613525,matelot à la pêche
Françoise Parent,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,HEVIE,ADOVIE carré 9238",françoiseparent@gmail.com,1954-07-05,+22956196539,vendeur-conseil en matériel agricole
Émile Moulin,Féminin,"ALIBORI,KARIMAMA,KOMPA,BANIZOUMBOU carré 9310",émilemoulin@gmail.com,1975-11-14,+22957912772,ingénieur forestier forestière
Monique Legrand,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,HEVIE,ADOVIE carré 1209",moniquelegrand@gmail.com,1982-05-07,+22997461989,assistant de service social
Anaïs Descamps,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,DAGBARA-GOUROU carré 1547",none,2012-09-26,none,none
Philippe Gonzalez de la Petitjean,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,TITIROU carré 2473",none,2011-02-14,none,none
Thibault Adam,Masculin,"MONO,HOUEYOGBE,DOUTOU,MAÏBOUI-AKLOH carré 4840",thibaultadam@gmail.com,1978-08-03,+22995523332,dessinateur de BD
Stéphanie Jean,Féminin,"PLATEAU,ADJA-OUERE,ADJA-OUERE,OKE-ODAN carré 5604",stéphaniejean@gmail.com,1944-12-05,+22964257720,patron pêcheur
Thibault Diallo,Masculin,"DONGA,DJOUGOU,SEROU,SERO carré 3333",thibaultdiallo@gmail.com,1981-02-15,+22964479629,volcanologue
Constance-Odette Michaud,Féminin,"ZOU,ZA-KPOTA,ZA-KPOTA,DETEKPA carré 8034",none,2008-01-20,none,none
Antoine Delahaye-Renard,Féminin,"LITTORAL,COTONOU,7EME ARRONDISSEMENT,GBEDOMIDJI carré 8581",antoinedelahaye-renard@gmail.com,1932-11-29,+22957962710,architecte web
Paul Bernard Le Coulon,Masculin,"MONO,BOPA,LOBOGO,AGONGOH carré 8491",paulbernardlecoulon@gmail.com,1963-06-22,+22964284901,directeur des services pénitentiaires
Denise David de Laine,Féminin,"BORGOU,BEMBEREKE,INA,GOUA carré 4668",denisedaviddelaine@gmail.com,2001-04-26,+22995282149,conseiller sportif sportive en salle de remise en forme
Joséphine Benoit,Féminin,"PLATEAU,ADJA-OUERE,MASSE,OWOCHANDE carré 1201",joséphinebenoit@gmail.com,1997-08-25,+22964164146,conseiller en environnement
Emmanuel Salmon,Masculin,"MONO,GRAND-POPO,AGOUE,AGOUE GBEDJIN carré 0021",emmanuelsalmon@gmail.com,1965-06-01,+22964508166,chef de projet sites et sols pollués
Arthur Dupré-Bousquet,Masculin,"PLATEAU,ADJA-OUERE,IKPINLE,IGBO-IROKO carré 0420",arthurdupré-bousquet@gmail.com,1970-08-28,+22997489276,installateur en télécoms
Odette Andre,Féminin,"BORGOU,BEMBEREKE,BOUANRI,GUERA-N'KALI-TASSI carré 3371",odetteandre@gmail.com,1966-03-12,+22995829118,antiquaire
Lucas Gillet,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,HOUNHOUE carré 4155",lucasgillet@gmail.com,1945-09-22,+22967137274,concepteur multimédia
Margot Denis de la Lefèvre,Masculin,"COUFFO,APLAHOUE,APLAHOUE,APLAHOUE carré 5521",margotdenisdelalefèvre@gmail.com,1962-09-27,+22964697970,orthophoniste
Noël Barbier,Masculin,"PLATEAU,ADJA-OUERE,MASSE,OGOURO carré 6395",noëlbarbier@gmail.com,1988-04-11,+22967007422,botaniste
Alexandrie du Tanguy,Féminin,"ZOU,AGBANGNIZOUN,AGBANGNIZOUN,AGBANGNIZOUN carré 5014",alexandriedutanguy@gmail.com,1965-03-29,+22964583062,expert immobilier immobilier
Sophie Imbert,Féminin,"ALIBORI,GOGOUNOU,SORI,GOURE DANTCHA carré 9980",sophieimbert@gmail.com,1970-11-11,+22964868812,"inspecteur des douanes, des finances publiques ou du travail"
Jules De Oliveira,Masculin,"ATACORA,KEROU,KEROU,KEROU WIROU carré 4268",julesdeoliveira@gmail.com,1943-07-08,+22991783867,contrôleur de performance
Philippine Sauvage,Féminin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,NIKKI-KPEROU carré 2165",philippinesauvage@gmail.com,1966-03-14,+22995034419,antiquaire
Zacharie Lombard,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,MISSESSINTO carré 8031",none,2017-03-09,none,none
Raymond-Emmanuel Hamon,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,KPACOMEY carré 0241",raymond-emmanuelhamon@gmail.com,1960-10-01,+22962440097,technicien de maintenance industrielle
Catherine-Astrid Fischer,Masculin,"COUFFO,KLOUEKANMEY,TCHIKPE,AKOUEGBADJA carré 3703",catherine-astridfischer@gmail.com,1938-12-23,+22964428766,agent de constatation des douanes
Jules Gaudin,Masculin,"DONGA,DJOUGOU,DJOUGOU II,TIMTIM-BONGO carré 7229",julesgaudin@gmail.com,1959-06-14,+22995520721,vendeur-conseil en matériel agricole
Bernard Leclercq-Renard,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ZINVIE,ZINVIE-FANDJI carré 9747",bernardleclercq-renard@gmail.com,1962-02-25,+22951877285,responsable du back office
Jules Bourdon,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ZINVIE,ADJOGANSA carré 4294",julesbourdon@gmail.com,1994-06-21,+22995991354,conseiller en environnement
Adélaïde Guillet,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,TANKPE YOHO carré 9787",adélaïdeguillet@gmail.com,1973-11-13,+22964244011,cordonnier
Michèle Mary,Féminin,"ALIBORI,BANIKOARA,TOURA,GUIMBAGOU carré 4832",none,2011-07-05,none,none
Lucas Garcia,Masculin,"COUFFO,DOGBO,TOTA,ZAPHI GNAME carré 2772",lucasgarcia@gmail.com,1960-07-12,+22964866500,syndic de copropriété
Robert Hardy-Maillet,Masculin,"BORGOU,N'DALI,SIRAROU,KOMIGUEA carré 8257",roberthardy-maillet@gmail.com,1940-10-21,+22995244979,restaurateur d'oeuvres d'art
Olivier-Robert Marie,Masculin,"BORGOU,NIKKI,TASSO,GBABIRE carré 5211",none,2004-12-27,none,none
Guillaume Weber,Féminin,"BORGOU,KALALE,KALALE,DJEGA-KALALE carré 5954",guillaumeweber@gmail.com,1954-03-14,+22995733933,ingénieur en génie climatique
Gilbert Seguin,Masculin,"ALIBORI,GOGOUNOU,SOUGOU-KPAN-TROSSI,SOUGOU-KPANTROSSI carré 5062",gilbertseguin@gmail.com,1938-09-13,+22995150079,designer graphique
Maurice Bouvier,Féminin,"ZOU,BOHICON,PASSAGON,TOVIGOME carré 0477",mauricebouvier@gmail.com,1996-12-28,+22995960600,technicien en lignes haute tension
Christophe Martins,Féminin,"BORGOU,NIKKI,NIKKI,GBAOUSSI carré 9724",christophemartins@gmail.com,1980-10-12,+22995882351,magasinier cariste
Colette Baron,Féminin,"DONGA,COPARGO,COPARGO,DJESSEKOU carré 5497",colettebaron@gmail.com,1976-06-01,+22964852512,caissier
Charlotte Joseph,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,SEME carré 7685",charlottejoseph@gmail.com,1985-06-30,+22995925808,veilleur stratégique
Margaud Gaudin,Masculin,"DONGA,OUAKE,SEMERE 1,TCHINGUEYARE carré 4238",none,2011-08-25,none,none
Roger Gimenez,Masculin,"ALIBORI,SEGBANA,SEGBANA,BATAZI carré 0186",rogergimenez@gmail.com,1977-06-21,+22991666988,médecin généraliste
Françoise Pinto,Féminin,"COLLINES,GLAZOUE,GLAZOUE,ZONGO carré 9243",none,2015-02-26,none,none
Éric Louis,Masculin,"ALIBORI,MALANVILLE,GUENE,GOUN-GOUN carré 7904",ériclouis@gmail.com,1963-07-03,+22964488846,conseiller en insertion sociale et professionnelle
William Michaud,Masculin,"DONGA,DJOUGOU,BAREI,BAREI-SAOUPEHOUN carré 6167",none,2005-04-07,none,none
Sabine-Michelle Coste,Féminin,"OUEME,SEME-PODJI,AGBLANGANDAN,AKPOKPOTA carré 3661",sabine-michellecoste@gmail.com,1941-07-03,+22954315518,ingénieur méthodes mécaniques
Thomas Bailly,Masculin,"LITTORAL,COTONOU,9EME ARRONDISSEMENT,MENONTIN carré 3617",thomasbailly@gmail.com,1961-03-21,+22950404056,chef de produit technique en informatique
Victor Besson,Masculin,"ATACORA,NATITINGOU,NATITINGOU III,BERECINGOU carré 5100",none,2007-04-12,none,none
Alfred Pichon,Masculin,"ALIBORI,MALANVILLE,MALANVILLE,GALIEL carré 6555",alfredpichon@gmail.com,1977-05-16,+22964436621,ingénieur du son
Camille Chauvin,Féminin,"PLATEAU,KETOU,IDIGNY,ALAGBE-ILLIKIMOUN carré 7572",camillechauvin@gmail.com,1945-09-06,+22964595155,éducateur sportif sportive
Frédérique Moreau,Féminin,"PLATEAU,POBE,POBE,AYERE-AGBAROU carré 7009",frédériquemoreau@gmail.com,1969-07-09,+22964570012,volcanologue
Pénélope-Catherine Chrétien,Féminin,"BORGOU,TCHAOUROU,TCHATCHOU,TEKPAROU carré 7433",pénélope-catherinechrétien@gmail.com,1932-06-29,+22964042960,technicien de maintenance en informatique
Raymond Alves-Masson,Masculin,"COUFFO,DJAKOTOMEY,HOUEGAMEY,GAME-HOUEGBO carré 4525",raymondalves-masson@gmail.com,1961-12-29,+22964963833,ingénieur logistique
Auguste Lemoine,Féminin,"DONGA,BASSILA,MANIGRI,MANIGRI-IKANNI carré 1928",augustelemoine@gmail.com,2000-09-30,+22995527460,régleur
Patricia Besnard du Joseph,Féminin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,AVOTROU GBEGO carré 3697",patriciabesnarddujoseph@gmail.com,1978-08-05,+22969332739,formulateur
Marianne Moreno,Féminin,"LITTORAL,COTONOU,9EME ARRONDISSEMENT,ZOGBOHOUE carré 2832",mariannemoreno@gmail.com,1937-02-11,+22995390538,chef de publicité
Claudine Jourdan,Féminin,"COLLINES,GLAZOUE,MAGOUMI,MONSO carré 5643",none,2016-05-31,none,none
Madeleine Bazin-Jourdan,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,FANDJI carré 1702",madeleinebazin-jourdan@gmail.com,1935-10-03,+22961820760,responsable de la promotion des ventes
Henri Labbé,Féminin,"BORGOU,NIKKI,NIKKI,TOTOROU carré 2064",henrilabbé@gmail.com,1939-08-06,+22995430417,data manager
Lucy Legendre,Masculin,"ATLANTIQUE,TOFFO,SEHOUE,ACLONME carré 8596",lucylegendre@gmail.com,1937-10-01,+22995147049,rédacteur on line
Jérôme Renard,Féminin,"PLATEAU,IFANGNI,IFANGNI,GANMI carré 0772",jérômerenard@gmail.com,1993-06-28,+22969844147,ingénieur études et développement en logiciels de simulation
Emmanuel Alves,Masculin,"MONO,GRAND-POPO,AGOUE,ZOGBEDJI carré 5275",emmanuelalves@gmail.com,1975-08-20,+22964312842,linguiste
François Joseph,Masculin,"BORGOU,NIKKI,SUYA,BANTERE carré 7635",françoisjoseph@gmail.com,1978-08-18,+22997557915,garçon de café
Guillaume Chauvin,Féminin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,YENAWA DAHO carré 4922",guillaumechauvin@gmail.com,1989-10-25,+22964266220,responsable de laboratoire de contrôle en chimie
Adrien-Étienne Pasquier,Féminin,"BORGOU,KALALE,DERASSI,GNEL DEMON carré 7846",none,2009-08-23,none,none
Céline Alves du Georges,Féminin,"COUFFO,LALO,GNIZOUNME,HANGBANNOU carré 2081",none,2018-11-07,none,none
Virginie Thibault,Féminin,"COLLINES,GLAZOUE,THIO,ASSROMIHOUE carré 3170",virginiethibault@gmail.com,1965-09-20,+22995954852,agent arboricole
Laetitia-Marianne Gonzalez,Féminin,"BORGOU,NIKKI,TASSO,KPEBOURABOU carré 0861",laetitia-mariannegonzalez@gmail.com,1949-06-11,+22951441498,programmiste
Isaac Gilles du Buisson,Masculin,"ATLANTIQUE,ALLADA,AYOU,HANGNAN carré 7862",isaacgillesdubuisson@gmail.com,2000-07-07,+22964617284,officier de gendarmerie
Thérèse Delmas-Bouvet,Féminin,"ZOU,ZAGNANADO,KPEDEKPO,AGONVE carré 7577",thérèsedelmas-bouvet@gmail.com,1990-01-12,+22996427422,ingénieur forage
Margaud Poulain,Masculin,"PLATEAU,ADJA-OUERE,KPOULOU,KPOULOU carré 1958",none,2006-03-31,none,none
Thibaut Chartier,Masculin,"ZOU,ZOGBODOMEY,CANA II,ZOUNGBO-BOGON carré 5383",thibautchartier@gmail.com,1987-11-18,+22997470796,technicien de maintenance industrielle
Édouard Thibault-Maurice,Masculin,"ATLANTIQUE,SO-AVA,SO-AVA,AHOMEY-GBLON carré 9043",édouardthibault-maurice@gmail.com,1944-10-27,+22997008550,assistant en études de prix
Louise Rémy,Féminin,"ZOU,ZAGNANADO,KPEDEKPO,ZANTAN-IGBO-OLA carré 1665",louiserémy@gmail.com,1975-09-09,+22995412479,pilote de ligne
Gilbert Hernandez du Ferrand,Masculin,"ALIBORI,BANIKOARA,KOKIBOROU,SIRIKOU carré 4084",gilberthernandezduferrand@gmail.com,1985-09-22,+22995374975,commissaire de police
Noël Legrand,Masculin,"ATACORA,COBLY,COBLY,BAGAPODI carré 4416",noëllegrand@gmail.com,1992-02-04,+22964697786,statisticien en géomarketing
Capucine-Martine Delannoy,Féminin,"COUFFO,DOGBO,TOTA,HOUNGLOUI carré 3874",capucine-martinedelannoy@gmail.com,1967-08-30,+22961624258,mécanicien d'entretien d'avion
Arthur de Fleury,Masculin,"COUFFO,APLAHOUE,KISSAMEY,BOGANDJI carré 2160",none,2009-02-19,none,none
Antoine Charles,Féminin,"ZOU,ZAGNANADO,KPEDEKPO,ZANTAN-IGBO-OLA carré 3837",none,2005-08-29,none,none
Anne Bonnet,Féminin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,SURU LERE carré 4827",annebonnet@gmail.com,1972-02-21,+22991461553,modéliste
Christophe Aubry,Féminin,"ATACORA,TANGUIETA,TAIACOU,NONTINGOU carré 5172",christopheaubry@gmail.com,1968-07-30,+22962857867,guide-conférencier
Louis Guillot,Masculin,"ALIBORI,KANDI,KANDI 3,BAKPARA carré 7098",louisguillot@gmail.com,1935-08-15,+22995121574,employé de chai
Eugène Chevallier,Féminin,"BORGOU,KALALE,BOUCA,BOUCA-WOOROU carré 0206",eugènechevallier@gmail.com,1943-10-11,+22997526569,ingénieur RD en énergies renouvelables
Hugues Fleury Le Robin,Masculin,"MONO,BOPA,AGBODJI,DJIDJOZOUN carré 2696",huguesfleurylerobin@gmail.com,1974-03-29,+22950728393,ingénieur forestier forestière
Anouk Morin,Masculin,"LITTORAL,COTONOU,8EME ARRONDISSEMENT,HOUENOUSSOU STE RITA carré 9441",anoukmorin@gmail.com,2003-10-19,+22995264086,régisseur général générale cinéma
Olivier Garcia,Masculin,"COLLINES,SAVE,SAKIN,DIHO-AGBONGUI carré 1837",oliviergarcia@gmail.com,1995-06-26,+22959496354,anesthésiste-réanimateur
Andrée Bouvier,Féminin,"MONO,HOUEYOGBE,SE,HINDE carré 0976",andréebouvier@gmail.com,1952-03-04,+22995383603,acheteur
Matthieu Carre,Féminin,"ATLANTIQUE,ZE,TANGBO,TANMEY carré 3493",matthieucarre@gmail.com,1982-09-24,+22995838905,designer sonore
Audrey-Jacqueline Mendès,Féminin,"PLATEAU,IFANGNI,IFANGNI,OKE-ODJA carré 6282",none,2012-05-31,none,none
Maurice Barthelemy,Féminin,"ALIBORI,KANDI,KANDI 2,BAOBAB carré 3075",mauricebarthelemy@gmail.com,1946-08-09,+22964692205,technicien de forge
Gérard Fischer,Masculin,"ATACORA,TOUKOUNTOUNA,KOUARFA,KOUBA carré 1266",gérardfischer@gmail.com,1934-09-25,+22995942973,consultant SaaS
Emmanuel Rivière,Masculin,"ALIBORI,KANDI,SONSORO,PEDIGUI carré 5726",emmanuelrivière@gmail.com,1991-04-24,+22964482493,assistant de service social
Olivie-Christelle Delahaye,Féminin,"PLATEAU,POBE,TOWE,IGBOKOFIN-EGUELOU carré 0292",none,2021-01-31,none,none
Gilles Allain,Masculin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,YENAWA carré 8668",gillesallain@gmail.com,1959-02-17,+22953889206,animateur de bassin versant
Léon Pierre,Masculin,"PLATEAU,SAKETE,SAKETE 2,ZIMON carré 2774",léonpierre@gmail.com,1992-08-19,+22995178323,conducteur de machines agricoles
Thibaut-Thomas Hernandez,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,BANIKANNI-ENI carré 5797",thibaut-thomashernandez@gmail.com,1985-12-17,+22995421543,responsable d'élevage agricole
Suzanne Paris,Féminin,"ZOU,DJIDJA,DJIDJA CENTRE,DJIDJA-ALIGOUDO carré 3726",suzanneparis@gmail.com,1979-01-10,+22964120764,développeur d'applications mobiles
Éric Lemaire,Masculin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,MIDOMBO carré 0060",none,2009-02-19,none,none
Roland Rodriguez,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,TOGBA,TOGBA MARIA-GLETA carré 4329",rolandrodriguez@gmail.com,1972-09-12,+22964026317,ingénieur analyste de l'air
Timothée Schneider-Garcia,Féminin,"DONGA,OUAKE,SEMERE 1,DAKA carré 6657",timothéeschneider-garcia@gmail.com,1967-01-28,+22995097175,enquêteur privé privée
Émilie de la Nicolas,Féminin,"ALIBORI,GOGOUNOU,WARA,KALE carré 4841",émiliedelanicolas@gmail.com,1985-06-30,+22991206172,vendeur en micro-informatique et multimédia
Joseph Pinto,Masculin,"ATLANTIQUE,ZE,KOUNDOKPOE,HOUEHOUNTA-TOZOUNKPA carré 2158",josephpinto@gmail.com,1962-08-10,+22964358276,mouleur-noyauteur
Margot Fleury-Grenier,Masculin,"ALIBORI,KARIMAMA,KARIMAMA,BELLO-TOUNGA carré 9853",margotfleury-grenier@gmail.com,1974-04-23,+22964787733,chargé de production
Thierry de la Samson,Masculin,"COLLINES,OUESSE,ODOUGBA,ODOUGBA carré 5827",thierrydelasamson@gmail.com,1939-01-23,+22990413376,ingénieur maintenance aéronautique
Madeleine Gros-Poirier,Féminin,"LITTORAL,COTONOU,3EME ARRONDISSEMENT,MIDOMBO carré 9389",madeleinegros-poirier@gmail.com,1991-02-28,+22995356872,coordonnateur d'études cliniques
